,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
0,CARP_carp_38M_carp_38M_score,-0.19,-0.19,-0.11,0.13,-0.01,0.02,0.63,0.60,0.15,0.21,0.51,0.48,0.47,0.55,-0.08,-0.01,0.55,0.53,0.31,0.24,0.20,0.29,0.25,0.20,0.11,0.08,0.33,0.30,-0.15,-0.14,-0.03,-0.00,0.01,0.03,0.11,0.07,0.40,0.29,0.17,0.18,0.57,0.57,-0.00,-0.03,0.25,0.29,0.10,0.05,0.03,0.07,0.41,0.35,,,0.39,0.57,0.11,0.18,-0.39,-0.40,-0.48,-0.24,0.34,0.35,-0.34,-0.33,0.20,0.18,0.57,0.50,0.09,0.08,-0.08,-0.04,-0.33,-0.30,-0.18,-0.29,0.45,0.43,0.46,0.47,0.34,0.28,0.56,0.55,0.28,0.21,-0.61,-0.57,0.12,0.14,0.19,-0.00,0.25,0.26,0.17,0.21,0.37,0.35
1,CARP_carp_600k_carp_600k_score,-0.22,-0.21,0.22,0.23,-0.01,0.02,0.54,0.50,-0.01,0.05,-0.39,-0.35,0.48,0.52,-0.05,0.01,-0.20,-0.10,-0.26,-0.34,-0.17,-0.17,-0.15,-0.18,0.05,0.02,0.32,0.29,0.07,0.07,-0.07,-0.04,0.03,0.07,0.15,0.09,0.47,0.35,0.22,0.24,0.29,0.27,-0.17,-0.07,-0.39,-0.33,0.30,0.29,0.03,0.06,0.36,0.36,,,0.36,0.57,0.15,0.22,-0.35,-0.35,-0.24,-0.20,-0.16,-0.15,-0.24,-0.25,0.20,0.19,0.32,0.24,-0.04,0.01,-0.12,-0.08,-0.29,-0.26,-0.33,-0.39,-0.39,-0.41,-0.46,-0.43,-0.10,-0.11,0.18,0.28,0.14,0.11,-0.06,-0.10,-0.17,-0.15,0.22,0.05,0.16,0.15,-0.10,-0.14,0.36,0.33
2,CARP_carp_640M_carp_640M_score,-0.22,-0.19,-0.02,-0.00,0.05,0.08,0.44,0.36,0.33,0.38,0.23,0.23,0.32,0.38,0.36,0.29,0.58,0.56,0.33,0.27,0.14,0.21,0.39,0.38,0.21,0.17,0.35,0.32,-0.07,-0.07,0.27,0.30,0.43,0.46,0.05,0.03,0.44,0.33,0.31,0.32,0.56,0.56,-0.01,-0.03,0.24,0.28,-0.20,-0.23,0.08,0.12,0.44,0.35,,,0.47,0.61,0.20,0.27,-0.33,-0.34,0.47,0.54,0.32,0.31,-0.31,-0.28,0.42,0.43,0.18,0.16,-0.04,-0.07,-0.07,-0.05,-0.28,-0.25,-0.18,-0.29,0.42,0.37,0.41,0.41,0.22,0.21,0.47,0.46,-0.05,-0.08,0.02,0.07,0.20,0.20,0.45,0.40,0.01,-0.06,0.24,0.24,0.37,0.35
3,CARP_carp_76M_carp_76M_score,-0.25,-0.24,-0.06,0.10,0.03,0.06,0.53,0.50,0.30,0.34,0.47,0.45,0.42,0.54,0.17,0.16,0.65,0.61,0.33,0.25,0.16,0.23,0.43,0.42,0.06,0.06,0.33,0.31,-0.16,-0.16,0.10,0.13,0.26,0.29,0.01,-0.01,0.45,0.33,0.39,0.41,0.66,0.65,-0.03,-0.06,0.32,0.33,-0.35,-0.39,0.09,0.13,0.31,0.27,,,0.43,0.57,0.14,0.21,-0.37,-0.38,0.09,0.21,0.60,0.61,-0.36,-0.34,0.42,0.42,0.30,0.24,0.05,0.03,-0.10,-0.07,-0.23,-0.21,-0.20,-0.32,0.49,0.47,0.26,0.26,0.31,0.26,0.57,0.57,0.24,0.17,0.24,0.22,0.14,0.14,0.27,0.16,-0.10,-0.15,0.25,0.26,0.37,0.36
4,DeepSequence_evol_indices_seed_1000,-0.13,-0.12,0.07,0.05,-0.42,-0.41,-0.07,-0.06,-0.43,-0.47,-0.43,-0.41,-0.07,-0.15,-0.25,-0.16,-0.39,-0.34,-0.19,-0.25,-0.06,-0.10,-0.34,-0.31,0.04,0.04,-0.13,-0.10,-0.37,-0.39,-0.32,-0.30,-0.21,-0.25,-0.12,-0.07,-0.49,-0.39,-0.36,-0.37,-0.63,-0.64,0.03,0.04,-0.38,-0.40,-0.33,-0.30,-0.18,-0.25,-0.32,-0.29,,,-0.40,-0.56,0.20,0.12,0.32,0.37,-0.23,0.05,-0.48,-0.51,0.50,0.50,-0.52,-0.51,-0.54,-0.50,-0.10,-0.06,-0.15,-0.14,-0.20,-0.15,0.31,0.39,-0.60,-0.62,-0.50,-0.53,-0.36,-0.33,-0.57,-0.56,0.11,0.05,-0.16,-0.12,-0.29,-0.31,-0.41,-0.32,-0.03,0.05,-0.21,-0.15,-0.17,-0.17
5,DeepSequence_evol_indices_seed_2000,-0.08,-0.08,0.09,0.08,-0.41,-0.40,-0.17,-0.15,-0.41,-0.45,-0.45,-0.44,-0.13,-0.20,-0.24,-0.16,-0.38,-0.34,-0.36,-0.39,-0.04,-0.09,-0.33,-0.30,-0.01,-0.01,-0.13,-0.10,-0.36,-0.39,-0.49,-0.49,-0.22,-0.25,-0.09,-0.04,-0.50,-0.40,-0.40,-0.41,-0.65,-0.65,0.03,0.02,-0.39,-0.43,-0.34,-0.32,-0.27,-0.32,-0.29,-0.25,,,-0.41,-0.57,0.21,0.12,0.28,0.33,-0.13,0.18,-0.50,-0.54,0.54,0.52,-0.51,-0.50,-0.25,-0.23,-0.12,-0.09,-0.16,-0.15,-0.24,-0.19,-0.10,-0.07,-0.53,-0.55,-0.46,-0.51,-0.31,-0.28,-0.57,-0.56,0.10,0.05,0.14,0.08,-0.27,-0.28,-0.42,-0.33,-0.07,0.01,-0.29,-0.22,-0.24,-0.23
6,DeepSequence_evol_indices_seed_3000,-0.06,-0.04,0.07,0.06,-0.41,-0.40,-0.12,-0.11,-0.43,-0.46,-0.47,-0.44,-0.13,-0.21,-0.25,-0.16,-0.37,-0.32,-0.37,-0.39,-0.04,-0.08,-0.33,-0.31,0.09,0.08,-0.14,-0.11,-0.37,-0.39,-0.32,-0.29,-0.21,-0.25,-0.10,-0.05,-0.49,-0.39,-0.36,-0.37,-0.65,-0.64,-0.09,-0.08,-0.40,-0.43,-0.36,-0.33,-0.19,-0.27,-0.29,-0.26,,,-0.42,-0.60,0.19,0.11,0.30,0.36,-0.24,0.06,-0.50,-0.53,0.49,0.48,-0.53,-0.51,-0.34,-0.26,-0.09,-0.05,-0.16,-0.16,-0.17,-0.13,0.25,0.32,-0.48,-0.48,-0.46,-0.51,-0.30,-0.26,-0.57,-0.57,0.11,0.06,-0.01,-0.05,-0.31,-0.32,-0.41,-0.31,-0.01,0.06,-0.23,-0.18,-0.28,-0.28
7,DeepSequence_evol_indices_seed_4000,-0.17,-0.16,0.01,0.05,-0.40,-0.39,-0.17,-0.17,-0.43,-0.47,-0.51,-0.49,-0.08,-0.16,-0.25,-0.17,-0.37,-0.32,-0.15,-0.22,-0.06,-0.11,-0.34,-0.31,0.10,0.09,-0.13,-0.10,-0.37,-0.40,-0.36,-0.34,-0.33,-0.34,-0.13,-0.07,-0.48,-0.39,-0.35,-0.39,-0.66,-0.66,0.03,0.03,-0.40,-0.43,-0.38,-0.35,-0.24,-0.30,-0.27,-0.24,,,-0.40,-0.57,0.20,0.12,0.30,0.35,-0.16,0.13,-0.50,-0.53,0.49,0.49,-0.48,-0.47,-0.33,-0.27,-0.10,-0.06,-0.16,-0.16,-0.06,-0.04,-0.12,-0.10,-0.50,-0.50,-0.47,-0.50,-0.41,-0.35,-0.57,-0.57,0.11,0.05,-0.15,-0.20,-0.30,-0.31,-0.32,-0.26,-0.07,0.02,-0.29,-0.23,-0.24,-0.23
8,DeepSequence_evol_indices_seed_5000,-0.10,-0.08,0.04,0.06,-0.36,-0.35,-0.14,-0.13,-0.43,-0.47,-0.43,-0.41,-0.12,-0.17,-0.24,-0.16,-0.37,-0.33,-0.18,-0.24,-0.08,-0.12,-0.32,-0.29,0.05,0.04,-0.13,-0.11,-0.38,-0.41,-0.38,-0.36,-0.22,-0.24,-0.08,-0.03,-0.50,-0.40,-0.43,-0.47,-0.67,-0.67,0.03,0.05,-0.40,-0.43,-0.33,-0.29,-0.20,-0.27,-0.32,-0.28,,,-0.39,-0.61,0.20,0.12,0.28,0.32,-0.13,0.17,-0.50,-0.53,0.49,0.50,-0.49,-0.48,-0.21,-0.20,-0.10,-0.07,-0.19,-0.19,-0.04,-0.02,0.02,0.07,-0.51,-0.53,-0.48,-0.49,-0.31,-0.27,-0.57,-0.57,0.11,0.06,0.18,0.07,-0.30,-0.32,-0.35,-0.27,-0.09,-0.00,-0.32,-0.26,-0.23,-0.23
9,DeepSequence_evol_indices_ensemble,-0.11,-0.10,0.06,0.06,-0.40,-0.39,-0.13,-0.12,-0.43,-0.46,-0.51,-0.49,-0.11,-0.18,-0.24,-0.16,-0.38,-0.33,-0.24,-0.30,-0.06,-0.10,-0.33,-0.31,0.06,0.05,-0.13,-0.10,-0.38,-0.41,-0.39,-0.37,-0.25,-0.28,-0.10,-0.05,-0.49,-0.39,-0.38,-0.40,-0.67,-0.67,-0.02,0.02,-0.39,-0.43,-0.35,-0.32,-0.22,-0.29,-0.31,-0.27,,,-0.41,-0.60,0.20,0.12,0.30,0.35,-0.17,0.14,-0.50,-0.54,0.52,0.52,-0.51,-0.50,-0.41,-0.35,-0.11,-0.07,-0.16,-0.16,-0.17,-0.14,0.05,0.11,-0.53,-0.55,-0.48,-0.51,-0.34,-0.29,-0.57,-0.57,0.11,0.06,0.02,-0.01,-0.29,-0.31,-0.38,-0.29,-0.05,0.03,-0.28,-0.22,-0.23,-0.23
