Unnamed: 0,model,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_SYNP2_Tsuboyama_2023_1PSE_all,PSAE_SYNP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,category
3,CARP_carp_76M_carp_76M_score,-0.25,-0.24,-0.06,0.1,0.03,0.06,0.53,0.5,0.3,0.34,0.47,0.45,0.42,0.54,0.17,0.16,0.65,0.61,0.33,0.25,0.16,0.23,0.43,0.42,0.06,0.06,0.33,0.31,-0.16,-0.16,0.1,0.13,0.26,0.29,0.01,-0.01,0.45,0.33,0.39,0.41,0.66,0.65,-0.03,-0.06,0.32,0.33,-0.35,-0.39,0.09,0.13,0.31,0.27,,,0.43,0.57,0.14,0.21,-0.37,-0.38,0.09,0.21,0.6,0.61,-0.36,-0.34,0.42,0.42,0.3,0.24,0.05,0.03,-0.1,-0.07,-0.23,-0.21,-0.2,-0.32,0.49,0.47,0.26,0.26,0.31,0.26,0.57,0.57,0.24,0.17,0.24,0.22,0.14,0.14,0.27,0.16,-0.1,-0.15,0.25,0.26,0.37,0.36,CARP
4,DeepSequence_evol_indices_seed_1000,-0.13,-0.12,0.07,0.05,-0.42,-0.41,-0.07,-0.06,-0.43,-0.47,-0.43,-0.41,-0.07,-0.15,-0.25,-0.16,-0.39,-0.34,-0.19,-0.25,-0.06,-0.1,-0.34,-0.31,0.04,0.04,-0.13,-0.1,-0.37,-0.39,-0.32,-0.3,-0.21,-0.25,-0.12,-0.07,-0.49,-0.39,-0.36,-0.37,-0.63,-0.64,0.03,0.04,-0.38,-0.4,-0.33,-0.3,-0.18,-0.25,-0.32,-0.29,,,-0.4,-0.56,0.2,0.12,0.32,0.37,-0.23,0.05,-0.48,-0.51,0.5,0.5,-0.52,-0.51,-0.54,-0.5,-0.1,-0.06,-0.15,-0.14,-0.2,-0.15,0.31,0.39,-0.6,-0.62,-0.5,-0.53,-0.36,-0.33,-0.57,-0.56,0.11,0.05,-0.16,-0.12,-0.29,-0.31,-0.41,-0.32,-0.03,0.05,-0.21,-0.15,-0.17,-0.17,DeepSequence
23,ESM-IF1_esmif1_ll,0.14,0.14,0.43,0.34,0.54,0.58,0.59,0.55,0.35,0.37,0.17,0.2,0.47,0.56,0.43,0.35,0.15,0.24,0.02,-0.03,0.46,0.52,0.34,0.33,0.19,0.17,0.24,0.22,0.13,0.13,0.56,0.57,0.34,0.32,0.17,0.17,0.55,0.44,0.56,0.59,0.67,0.67,0.25,0.23,0.25,0.29,0.42,0.37,0.5,0.43,0.62,0.6,,,0.39,0.6,0.29,0.38,-0.15,-0.2,0.58,0.59,0.47,0.44,0.04,0.03,0.58,0.61,0.32,0.33,0.31,0.25,0.14,0.16,0.39,0.37,0.31,0.32,0.39,0.31,0.39,0.47,0.47,0.45,0.63,0.65,0.23,0.23,-0.05,0.09,0.3,0.31,0.64,0.65,0.6,0.59,0.32,0.27,0.32,0.3,ESM-IF1
10,ESM1b_esm1b_t33_650M_UR50S,0.05,0.03,-0.1,0.02,0.11,0.15,0.65,0.63,0.43,0.49,0.27,0.26,0.2,0.28,0.36,0.33,0.44,0.43,0.32,0.26,0.23,0.3,0.39,0.36,-0.09,-0.12,0.4,0.36,-0.04,-0.03,0.26,0.29,0.49,0.49,0.16,0.14,0.49,0.36,0.2,0.19,0.48,0.47,0.04,0.02,0.36,0.39,0.08,0.05,0.06,0.11,0.13,0.1,,,0.33,0.52,0.26,0.32,-0.33,-0.37,0.09,0.2,0.15,0.12,-0.48,-0.49,0.47,0.47,0.22,0.19,0.09,0.03,0.11,0.12,-0.2,-0.2,-0.09,-0.18,0.49,0.47,0.5,0.53,0.32,0.28,0.51,0.5,-0.2,-0.19,0.19,0.17,0.14,0.13,0.48,0.43,0.11,0.02,0.25,0.21,0.35,0.34,ESM1b
14,ESM1v_esm1v_t33_650M_UR90S_4,0.23,0.23,-0.05,0.04,0.08,0.1,0.57,0.57,0.38,0.44,0.35,0.33,0.31,0.41,0.37,0.32,0.62,0.59,0.37,0.31,0.14,0.19,0.29,0.28,0.03,0.01,0.34,0.3,-0.13,-0.13,0.26,0.28,0.41,0.44,0.14,0.13,0.43,0.31,0.35,0.34,0.61,0.63,-0.02,0.01,0.22,0.22,-0.16,-0.2,0.02,0.08,0.34,0.3,,,0.4,0.54,0.16,0.24,-0.39,-0.4,-0.03,0.19,0.48,0.5,-0.48,-0.48,0.41,0.42,0.31,0.23,0.09,0.07,-0.32,-0.31,-0.28,-0.26,-0.2,-0.32,0.52,0.5,0.32,0.35,0.26,0.22,0.59,0.57,0.08,0.02,0.06,0.1,0.19,0.22,0.19,0.01,0.4,0.34,0.29,0.34,0.37,0.36,ESM1v
17,ESM2_150M_esm2_t30_150M_UR50D,-0.07,-0.05,0.0,0.21,0.14,0.18,0.74,0.72,0.32,0.35,0.39,0.37,0.17,0.28,0.34,0.25,0.42,0.4,0.33,0.27,0.26,0.32,0.39,0.37,0.2,0.18,0.36,0.32,-0.15,-0.14,0.41,0.42,0.55,0.57,0.3,0.25,0.47,0.35,0.24,0.24,0.72,0.72,0.01,-0.02,0.35,0.38,0.42,0.4,-0.02,0.03,0.54,0.45,,,0.15,0.49,0.19,0.27,-0.35,-0.39,0.14,0.3,0.56,0.57,-0.55,-0.54,0.48,0.5,0.31,0.27,-0.02,-0.01,0.15,0.16,-0.29,-0.27,-0.29,-0.4,0.48,0.47,0.46,0.49,0.41,0.37,0.58,0.57,-0.1,-0.09,0.07,-0.03,0.28,0.28,0.08,-0.1,0.04,-0.03,0.32,0.29,0.25,0.23,ESM2
26,EVE_evol_indices_seed_3000,-0.09,-0.09,0.03,-0.03,-0.43,-0.42,-0.14,-0.13,-0.4,-0.42,-0.44,-0.42,-0.18,-0.26,-0.25,-0.16,-0.4,-0.35,-0.37,-0.37,-0.08,-0.12,-0.33,-0.3,0.05,0.05,-0.12,-0.09,-0.37,-0.4,-0.47,-0.49,-0.26,-0.29,-0.12,-0.07,-0.51,-0.39,-0.39,-0.43,-0.64,-0.64,-0.02,-0.0,-0.42,-0.45,-0.35,-0.32,-0.23,-0.27,-0.39,-0.36,,,-0.42,-0.61,0.19,0.11,0.28,0.33,-0.32,-0.06,-0.5,-0.53,0.45,0.45,-0.55,-0.53,0.45,0.4,-0.1,-0.07,-0.23,-0.23,-0.27,-0.21,0.05,0.03,-0.52,-0.53,-0.43,-0.43,-0.42,-0.36,-0.57,-0.57,0.09,0.04,-0.05,-0.1,-0.32,-0.33,-0.42,-0.32,-0.01,0.06,-0.36,-0.29,-0.25,-0.24,EVE
30,EVmutation_prediction_epistatic,0.13,0.11,-0.02,-0.07,0.44,0.43,0.04,0.05,0.42,0.45,0.17,0.18,0.28,0.36,0.24,0.15,0.5,0.46,0.29,0.34,0.24,0.26,0.3,0.28,0.03,0.03,0.16,0.13,0.3,0.34,0.4,0.41,0.12,0.14,0.23,0.19,0.48,0.38,0.42,0.41,0.61,0.61,-0.07,-0.03,0.39,0.42,0.37,0.35,0.26,0.33,0.16,0.2,,,0.43,0.63,-0.14,-0.05,-0.35,-0.39,0.39,0.17,0.3,0.3,-0.35,-0.33,0.45,0.43,0.61,0.58,0.16,0.12,0.23,0.23,0.11,0.07,-0.08,-0.11,0.48,0.49,0.52,0.52,0.42,0.41,0.58,0.58,-0.14,-0.07,0.38,0.43,0.28,0.29,0.43,0.41,-0.07,-0.13,0.3,0.25,0.28,0.27,EVmutation
32,GEMME_GEMME_score,0.11,0.08,-0.12,-0.08,0.66,0.64,0.44,0.38,0.45,0.46,0.23,0.23,0.25,0.36,0.19,0.08,0.5,0.45,0.35,0.3,0.26,0.31,0.31,0.27,-0.1,-0.09,0.08,0.03,0.39,0.39,0.37,0.39,0.12,0.1,0.19,0.14,0.58,0.48,0.36,0.39,0.54,0.55,-0.03,-0.06,0.3,0.32,0.23,0.22,0.33,0.33,0.29,0.25,,,0.2,0.5,0.04,0.1,-0.14,-0.2,0.22,-0.04,0.33,0.33,-0.29,-0.27,0.61,0.61,0.45,0.41,0.04,0.0,0.2,0.22,0.14,0.13,0.01,0.06,0.49,0.52,0.45,0.47,0.34,0.3,0.54,0.53,-0.14,-0.11,-0.1,-0.09,0.32,0.33,0.45,0.41,0.01,-0.05,0.37,0.36,0.24,0.21,GEMME
33,MIF_mif_mif_score,-0.05,-0.04,0.42,0.3,0.54,0.57,0.49,0.44,0.3,0.3,-0.16,-0.13,0.44,0.54,0.25,0.18,0.27,0.28,-0.06,-0.13,0.39,0.43,0.38,0.35,0.16,0.14,0.43,0.4,0.28,0.29,0.38,0.35,0.3,0.27,0.24,0.2,0.51,0.42,0.47,0.5,0.56,0.57,0.19,0.16,0.18,0.2,0.18,0.11,0.3,0.28,0.53,0.46,,,0.31,0.53,0.2,0.28,-0.33,-0.39,0.17,0.3,0.3,0.27,-0.23,-0.23,0.46,0.46,0.18,0.12,0.05,0.01,0.16,0.18,0.27,0.25,-0.19,-0.23,0.34,0.28,-0.14,0.0,0.51,0.49,0.49,0.52,0.08,0.08,-0.05,0.03,0.34,0.34,0.56,0.51,0.42,0.4,0.45,0.4,0.37,0.34,MIF
