,model,AMFR_HUMAN_Tsuboyama_2023_4G3O,BBC1_YEAST_Tsuboyama_2023_1TG0,BCHB_CHLTE_Tsuboyama_2023_2KRU,CATR_CHLRE_Tsuboyama_2023_2AMI,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBX4_HUMAN_Tsuboyama_2023_2K28,CSN4_MOUSE_Tsuboyama_2023_1UFM,CUE1_YEAST_Tsuboyama_2023_2MYX,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,EPHB2_HUMAN_Tsuboyama_2023_1F0M,FECA_ECOLI_Tsuboyama_2023_2D1U,HECD1_HUMAN_Tsuboyama_2023_3DKM,ISDH_STAAW_Tsuboyama_2023_2LHR,MAFG_MOUSE_Tsuboyama_2023_1K1V,MBD11_ARATH_Tsuboyama_2023_6ACV,MYO3_YEAST_Tsuboyama_2023_2BTT,NKX31_HUMAN_Tsuboyama_2023_2L9R,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSG_MYCTU_Tsuboyama_2023_2MI6,OBSCN_HUMAN_Tsuboyama_2023_1V1C,ODP2_GEOSE_Tsuboyama_2023_1W4G,PIN1_HUMAN_Tsuboyama_2023_1I6C,PITX2_HUMAN_Tsuboyama_2023_2L7M,POLG_PESV_Tsuboyama_2023_2MXD,PR40A_HUMAN_Tsuboyama_2023_1UZC,PSAE_SYNP2_Tsuboyama_2023_1PSE,RAD_ANTMA_Tsuboyama_2023_2CJJ,RBP1_HUMAN_Tsuboyama_2023_2KWH,RCD1_ARATH_Tsuboyama_2023_5OAO,RCRO_LAMBD_Tsuboyama_2023_1ORC,RD23A_HUMAN_Tsuboyama_2023_1IFY,RFAH_ECOLI_Tsuboyama_2023_2LCL,RL20_AQUAE_Tsuboyama_2023_1GYZ,RPC1_BP434_Tsuboyama_2023_1R69,SAV1_MOUSE_Tsuboyama_2023_2YSB,SDA_BACSU_Tsuboyama_2023_1PV0,SPA_STAAU_Tsuboyama_2023_1LP1,SPG2_STRSG_Tsuboyama_2023_5UBS,SPTN1_CHICK_Tsuboyama_2023_1TUD,SR43C_ARATH_Tsuboyama_2023_2N88,SRBS1_HUMAN_Tsuboyama_2023_2O2W,TCRG1_MOUSE_Tsuboyama_2023_1E0L,THO1_YEAST_Tsuboyama_2023_2WQG,TNKS2_HUMAN_Tsuboyama_2023_5JRT,UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBR5_HUMAN_Tsuboyama_2023_1I2T,VILI_CHICK_Tsuboyama_2023_1YU5,YAIA_ECOLI_Tsuboyama_2023_2KVT,YNZC_BACSU_Tsuboyama_2023_2JVD,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all
0,CARP_carp_38M_carp_38M_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,-0.20,-0.08,-0.10,-0.01,-0.01,0.61,0.62,0.09,0.14,0.50,0.51,0.47,0.47,-0.04,-0.09,0.54,0.55,0.25,0.29,0.19,0.20,0.25,0.24,0.14,0.12,0.31,0.35,-0.11,-0.15,-0.07,-0.04,0.01,0.01,0.14,0.12,0.41,0.40,0.18,0.17,0.51,0.57,-0.10,-0.00,0.19,0.34,0.08,0.09,0.03,0.04,0.41,0.39,0.58,0.46,0.11,0.11,-0.45,-0.41,-0.48,-0.48,0.34,0.34,-0.23,-0.28,0.20,0.20,0.54,0.56,0.13,0.07,-0.08,-0.08,-0.32,-0.33,-0.28,-0.17,0.39,0.45,0.49,0.46,0.30,0.36,0.61,0.56,0.39,0.29,-0.61,-0.61,0.13,0.12,0.19,0.18,0.25,0.26,0.12,0.15,0.31,0.37
1,CARP_carp_600k_carp_600k_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20,-0.23,0.29,0.20,-0.01,-0.01,0.52,0.54,-0.05,-0.02,-0.37,-0.38,0.48,0.48,-0.05,-0.06,-0.20,-0.19,-0.26,-0.29,-0.18,-0.17,-0.12,-0.17,0.09,0.06,0.29,0.34,0.10,0.05,-0.11,-0.07,0.06,0.04,0.18,0.15,0.47,0.47,0.23,0.22,0.24,0.28,-0.13,-0.17,-0.37,-0.37,0.39,0.33,0.03,0.04,0.39,0.36,0.70,0.46,0.15,0.15,-0.38,-0.38,-0.24,-0.24,-0.16,-0.16,-0.18,-0.21,0.20,0.20,0.29,0.27,0.10,-0.04,-0.12,-0.11,-0.29,-0.29,-0.37,-0.33,-0.36,-0.39,-0.47,-0.46,-0.14,-0.08,0.30,0.18,0.26,0.12,-0.06,-0.06,-0.15,-0.17,0.22,0.21,0.15,0.18,-0.10,-0.11,0.32,0.36
2,CARP_carp_640M_carp_640M_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,-0.24,-0.07,0.00,0.05,0.05,0.39,0.41,0.29,0.32,0.22,0.24,0.32,0.32,0.28,0.37,0.58,0.58,0.31,0.32,0.14,0.12,0.42,0.37,0.22,0.22,0.33,0.37,-0.06,-0.07,0.28,0.26,0.45,0.43,0.07,0.06,0.44,0.44,0.32,0.31,0.51,0.56,-0.11,-0.01,0.26,0.33,-0.22,-0.20,0.07,0.09,0.45,0.42,0.67,0.52,0.20,0.20,-0.39,-0.38,0.47,0.47,0.32,0.32,-0.17,-0.25,0.42,0.42,0.16,0.17,-0.05,0.03,-0.08,-0.06,-0.28,-0.28,-0.31,-0.16,0.35,0.43,0.41,0.42,0.19,0.21,0.50,0.48,-0.01,-0.04,0.02,0.02,0.20,0.20,0.46,0.44,-0.03,0.02,0.18,0.23,0.38,0.34
3,CARP_carp_76M_carp_76M_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,-0.27,-0.04,-0.04,0.02,0.03,0.51,0.52,0.26,0.29,0.48,0.48,0.42,0.42,0.13,0.17,0.64,0.65,0.27,0.31,0.16,0.15,0.46,0.42,0.07,0.06,0.31,0.35,-0.12,-0.16,0.07,0.09,0.27,0.26,0.02,0.01,0.45,0.45,0.40,0.39,0.62,0.66,-0.13,-0.03,0.31,0.42,-0.38,-0.36,0.09,0.11,0.30,0.29,0.61,0.48,0.14,0.14,-0.42,-0.40,0.09,0.09,0.60,0.60,-0.26,-0.33,0.42,0.42,0.21,0.30,0.12,0.09,-0.11,-0.10,-0.23,-0.23,-0.31,-0.19,0.42,0.50,0.27,0.26,0.26,0.32,0.62,0.58,0.34,0.26,0.24,0.24,0.14,0.15,0.27,0.26,-0.16,-0.09,0.20,0.22,0.35,0.36
4,DeepSequence_evol_indices_seed_1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,-0.14,0.14,0.04,-0.42,-0.42,-0.05,-0.06,-0.40,-0.43,-0.44,-0.43,-0.07,-0.07,-0.15,-0.27,-0.38,-0.39,-0.22,-0.20,-0.06,-0.04,-0.39,-0.32,0.05,0.02,-0.11,-0.14,-0.38,-0.39,-0.30,-0.31,-0.22,-0.19,-0.15,-0.12,-0.48,-0.48,-0.36,-0.36,-0.59,-0.64,0.14,0.03,-0.40,-0.47,-0.35,-0.31,-0.18,-0.16,-0.30,-0.31,-0.62,-0.46,0.20,0.20,0.41,0.37,-0.23,-0.23,-0.48,-0.48,0.47,0.56,-0.52,-0.52,-0.53,-0.52,-0.07,-0.12,-0.14,-0.15,-0.20,-0.21,0.33,0.29,-0.55,-0.60,-0.52,-0.51,-0.34,-0.38,-0.62,-0.58,0.12,0.11,-0.16,-0.16,-0.30,-0.30,-0.41,-0.40,0.02,-0.04,-0.14,-0.20,-0.26,-0.16
5,DeepSequence_evol_indices_seed_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.08,0.16,0.07,-0.41,-0.41,-0.13,-0.16,-0.38,-0.41,-0.45,-0.46,-0.13,-0.13,-0.15,-0.26,-0.37,-0.38,-0.36,-0.38,-0.05,-0.02,-0.38,-0.32,-0.00,-0.03,-0.11,-0.14,-0.37,-0.37,-0.50,-0.48,-0.23,-0.20,-0.11,-0.09,-0.50,-0.50,-0.40,-0.40,-0.60,-0.65,0.08,0.03,-0.41,-0.48,-0.36,-0.33,-0.28,-0.26,-0.28,-0.29,-0.63,-0.47,0.21,0.21,0.37,0.34,-0.13,-0.13,-0.50,-0.50,0.53,0.57,-0.51,-0.51,-0.24,-0.27,-0.10,-0.14,-0.15,-0.16,-0.24,-0.25,-0.01,-0.11,-0.46,-0.54,-0.46,-0.47,-0.27,-0.33,-0.62,-0.58,0.11,0.11,0.14,0.14,-0.28,-0.28,-0.42,-0.41,-0.01,-0.07,-0.24,-0.29,-0.32,-0.23
6,DeepSequence_evol_indices_seed_3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.05,0.13,0.04,-0.41,-0.41,-0.09,-0.11,-0.39,-0.42,-0.45,-0.47,-0.13,-0.13,-0.14,-0.26,-0.36,-0.37,-0.37,-0.39,-0.05,-0.03,-0.39,-0.32,0.10,0.07,-0.12,-0.15,-0.38,-0.38,-0.29,-0.31,-0.22,-0.19,-0.12,-0.10,-0.48,-0.48,-0.36,-0.36,-0.60,-0.65,0.00,-0.09,-0.42,-0.49,-0.38,-0.35,-0.19,-0.17,-0.29,-0.29,-0.66,-0.48,0.20,0.20,0.39,0.36,-0.24,-0.24,-0.50,-0.50,0.46,0.53,-0.53,-0.53,-0.30,-0.34,-0.07,-0.11,-0.15,-0.16,-0.17,-0.18,0.28,0.23,-0.40,-0.48,-0.47,-0.47,-0.27,-0.32,-0.62,-0.58,0.12,0.12,-0.01,-0.01,-0.31,-0.32,-0.40,-0.39,0.04,-0.01,-0.17,-0.23,-0.36,-0.27
7,DeepSequence_evol_indices_seed_4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,-0.17,0.10,-0.02,-0.40,-0.41,-0.15,-0.16,-0.40,-0.42,-0.51,-0.51,-0.08,-0.08,-0.15,-0.27,-0.37,-0.38,-0.18,-0.17,-0.07,-0.05,-0.40,-0.33,0.11,0.08,-0.11,-0.14,-0.38,-0.38,-0.34,-0.34,-0.31,-0.32,-0.15,-0.13,-0.48,-0.48,-0.36,-0.35,-0.62,-0.66,0.09,0.03,-0.42,-0.48,-0.40,-0.36,-0.24,-0.22,-0.24,-0.26,-0.66,-0.42,0.20,0.20,0.38,0.35,-0.16,-0.16,-0.50,-0.50,0.43,0.50,-0.48,-0.48,-0.31,-0.32,-0.10,-0.11,-0.15,-0.17,-0.05,-0.07,-0.02,-0.14,-0.43,-0.51,-0.46,-0.47,-0.39,-0.43,-0.62,-0.58,0.11,0.12,-0.15,-0.15,-0.31,-0.31,-0.32,-0.31,-0.00,-0.07,-0.24,-0.29,-0.32,-0.23
8,DeepSequence_evol_indices_seed_5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-0.10,0.13,0.02,-0.36,-0.36,-0.11,-0.14,-0.40,-0.42,-0.41,-0.43,-0.12,-0.12,-0.14,-0.26,-0.37,-0.38,-0.21,-0.21,-0.09,-0.06,-0.37,-0.30,0.05,0.03,-0.11,-0.14,-0.40,-0.39,-0.37,-0.37,-0.20,-0.20,-0.11,-0.08,-0.50,-0.50,-0.43,-0.43,-0.63,-0.67,0.13,0.03,-0.43,-0.50,-0.33,-0.31,-0.20,-0.18,-0.31,-0.31,-0.65,-0.43,0.20,0.20,0.37,0.33,-0.13,-0.13,-0.50,-0.50,0.45,0.51,-0.49,-0.49,-0.16,-0.17,-0.12,-0.13,-0.18,-0.19,-0.04,-0.05,0.11,0.01,-0.45,-0.52,-0.49,-0.48,-0.28,-0.33,-0.62,-0.58,0.12,0.12,0.18,0.18,-0.32,-0.32,-0.34,-0.34,-0.03,-0.09,-0.27,-0.32,-0.31,-0.22
9,DeepSequence_evol_indices_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,-0.11,0.13,0.04,-0.40,-0.40,-0.11,-0.13,-0.40,-0.42,-0.51,-0.51,-0.11,-0.11,-0.14,-0.26,-0.37,-0.38,-0.27,-0.26,-0.06,-0.04,-0.39,-0.32,0.06,0.04,-0.11,-0.14,-0.39,-0.39,-0.37,-0.38,-0.25,-0.23,-0.13,-0.11,-0.49,-0.49,-0.38,-0.38,-0.63,-0.68,0.08,-0.02,-0.41,-0.48,-0.37,-0.34,-0.23,-0.21,-0.29,-0.30,-0.65,-0.47,0.20,0.20,0.39,0.36,-0.17,-0.17,-0.50,-0.50,0.49,0.55,-0.51,-0.51,-0.37,-0.40,-0.10,-0.12,-0.15,-0.16,-0.17,-0.19,0.13,0.04,-0.47,-0.54,-0.49,-0.49,-0.31,-0.36,-0.62,-0.58,0.12,0.12,0.02,0.02,-0.31,-0.31,-0.37,-0.36,0.00,-0.06,-0.22,-0.27,-0.32,-0.22
