Unnamed: 0,model,AMFR_HUMAN_Tsuboyama_2023_4G3O,BBC1_YEAST_Tsuboyama_2023_1TG0,BCHB_CHLTE_Tsuboyama_2023_2KRU,CATR_CHLRE_Tsuboyama_2023_2AMI,CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBX4_HUMAN_Tsuboyama_2023_2K28,CSN4_MOUSE_Tsuboyama_2023_1UFM,CUE1_YEAST_Tsuboyama_2023_2MYX,DNJA1_HUMAN_Tsuboyama_2023_2LO1,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,EPHB2_HUMAN_Tsuboyama_2023_1F0M,FECA_ECOLI_Tsuboyama_2023_2D1U,HECD1_HUMAN_Tsuboyama_2023_3DKM,ISDH_STAAW_Tsuboyama_2023_2LHR,MAFG_MOUSE_Tsuboyama_2023_1K1V,MBD11_ARATH_Tsuboyama_2023_6ACV,MYO3_YEAST_Tsuboyama_2023_2BTT,NKX31_HUMAN_Tsuboyama_2023_2L9R,NUSA_ECOLI_Tsuboyama_2023_1WCL,NUSG_MYCTU_Tsuboyama_2023_2MI6,OBSCN_HUMAN_Tsuboyama_2023_1V1C,ODP2_GEOSE_Tsuboyama_2023_1W4G,PIN1_HUMAN_Tsuboyama_2023_1I6C,PITX2_HUMAN_Tsuboyama_2023_2L7M,POLG_PESV_Tsuboyama_2023_2MXD,PR40A_HUMAN_Tsuboyama_2023_1UZC,PSAE_SYNP2_Tsuboyama_2023_1PSE,RAD_ANTMA_Tsuboyama_2023_2CJJ,RBP1_HUMAN_Tsuboyama_2023_2KWH,RCD1_ARATH_Tsuboyama_2023_5OAO,RCRO_LAMBD_Tsuboyama_2023_1ORC,RD23A_HUMAN_Tsuboyama_2023_1IFY,RFAH_ECOLI_Tsuboyama_2023_2LCL,RL20_AQUAE_Tsuboyama_2023_1GYZ,RPC1_BP434_Tsuboyama_2023_1R69,SAV1_MOUSE_Tsuboyama_2023_2YSB,SDA_BACSU_Tsuboyama_2023_1PV0,SPA_STAAU_Tsuboyama_2023_1LP1,SPG2_STRSG_Tsuboyama_2023_5UBS,SPTN1_CHICK_Tsuboyama_2023_1TUD,SR43C_ARATH_Tsuboyama_2023_2N88,SRBS1_HUMAN_Tsuboyama_2023_2O2W,TCRG1_MOUSE_Tsuboyama_2023_1E0L,THO1_YEAST_Tsuboyama_2023_2WQG,TNKS2_HUMAN_Tsuboyama_2023_5JRT,UBE4B_HUMAN_Tsuboyama_2023_3L1X,UBR5_HUMAN_Tsuboyama_2023_1I2T,VILI_CHICK_Tsuboyama_2023_1YU5,YAIA_ECOLI_Tsuboyama_2023_2KVT,YNZC_BACSU_Tsuboyama_2023_2JVD,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,TNKS2_HUMAN_Tsuboyama_2023_5JRT_epistatic,TNKS2_HUMAN_Tsuboyama_2023_5JRT_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,category
3,CARP_carp_76M_carp_76M_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,-0.27,-0.04,-0.04,0.02,0.03,0.51,0.52,0.26,0.29,0.48,0.48,0.42,0.42,0.13,0.17,0.64,0.65,0.27,0.31,0.16,0.15,0.46,0.42,0.07,0.06,0.31,0.35,-0.12,-0.16,0.07,0.09,0.27,0.26,0.02,0.01,0.45,0.45,0.4,0.39,0.62,0.66,-0.13,-0.03,0.31,0.42,-0.38,-0.36,0.09,0.11,0.3,0.29,0.61,0.48,0.14,0.14,-0.42,-0.4,0.09,0.09,0.6,0.6,-0.26,-0.33,0.42,0.42,0.21,0.3,0.12,0.09,-0.11,-0.1,-0.23,-0.23,-0.31,-0.19,0.42,0.5,0.27,0.26,0.26,0.32,0.62,0.58,0.34,0.26,0.24,0.24,0.14,0.15,0.27,0.26,-0.16,-0.09,0.2,0.22,0.35,0.36,CARP
5,DeepSequence_evol_indices_seed_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.08,0.16,0.07,-0.41,-0.41,-0.13,-0.16,-0.38,-0.41,-0.45,-0.46,-0.13,-0.13,-0.15,-0.26,-0.37,-0.38,-0.36,-0.38,-0.05,-0.02,-0.38,-0.32,-0.0,-0.03,-0.11,-0.14,-0.37,-0.37,-0.5,-0.48,-0.23,-0.2,-0.11,-0.09,-0.5,-0.5,-0.4,-0.4,-0.6,-0.65,0.08,0.03,-0.41,-0.48,-0.36,-0.33,-0.28,-0.26,-0.28,-0.29,-0.63,-0.47,0.21,0.21,0.37,0.34,-0.13,-0.13,-0.5,-0.5,0.53,0.57,-0.51,-0.51,-0.24,-0.27,-0.1,-0.14,-0.15,-0.16,-0.24,-0.25,-0.01,-0.11,-0.46,-0.54,-0.46,-0.47,-0.27,-0.33,-0.62,-0.58,0.11,0.11,0.14,0.14,-0.28,-0.28,-0.42,-0.41,-0.01,-0.07,-0.24,-0.29,-0.32,-0.23,DeepSequence
23,ESM-IF1_esmif1_ll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.15,0.48,0.43,0.53,0.54,0.58,0.59,0.32,0.34,0.16,0.18,0.47,0.47,0.42,0.43,0.18,0.16,0.01,0.01,0.45,0.46,0.38,0.34,0.18,0.19,0.18,0.23,0.13,0.14,0.57,0.56,0.32,0.36,0.19,0.17,0.55,0.55,0.56,0.56,0.64,0.67,0.17,0.25,0.25,0.38,0.37,0.4,0.5,0.52,0.64,0.62,0.67,0.43,0.29,0.29,-0.28,-0.2,0.58,0.58,0.47,0.47,0.14,0.11,0.58,0.58,0.29,0.32,0.08,0.36,0.13,0.14,0.38,0.39,0.19,0.32,0.33,0.39,0.38,0.41,0.42,0.5,0.68,0.64,0.39,0.23,-0.05,-0.05,0.29,0.31,0.63,0.64,0.57,0.61,0.26,0.31,0.29,0.3,ESM-IF1
10,ESM1b_esm1b_t33_650M_UR50S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.04,-0.11,-0.08,0.11,0.11,0.64,0.65,0.41,0.43,0.27,0.27,0.2,0.2,0.33,0.37,0.43,0.44,0.26,0.32,0.24,0.22,0.42,0.39,-0.13,-0.09,0.38,0.42,-0.02,-0.02,0.26,0.25,0.5,0.5,0.18,0.16,0.49,0.49,0.21,0.2,0.43,0.48,-0.06,0.04,0.36,0.42,0.06,0.07,0.06,0.07,0.11,0.13,0.52,0.38,0.26,0.26,-0.41,-0.38,0.09,0.09,0.15,0.15,-0.46,-0.45,0.47,0.47,0.21,0.25,0.03,0.16,0.09,0.11,-0.2,-0.2,-0.18,-0.08,0.41,0.49,0.48,0.51,0.28,0.33,0.54,0.51,-0.16,-0.2,0.19,0.19,0.1,0.14,0.47,0.46,0.03,0.11,0.18,0.24,0.33,0.33,ESM1b
14,ESM1v_esm1v_t33_650M_UR90S_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.24,-0.05,-0.02,0.08,0.08,0.58,0.57,0.36,0.38,0.34,0.36,0.31,0.31,0.26,0.38,0.61,0.62,0.32,0.36,0.15,0.12,0.3,0.26,0.07,0.04,0.32,0.36,-0.1,-0.13,0.24,0.25,0.44,0.41,0.15,0.14,0.43,0.43,0.35,0.35,0.56,0.62,-0.05,-0.01,0.19,0.31,-0.2,-0.17,0.02,0.03,0.37,0.33,0.55,0.48,0.16,0.16,-0.44,-0.43,-0.03,-0.03,0.48,0.48,-0.43,-0.41,0.41,0.41,0.26,0.32,0.18,0.11,-0.33,-0.32,-0.27,-0.28,-0.31,-0.2,0.47,0.53,0.33,0.33,0.2,0.29,0.62,0.6,0.19,0.08,0.06,0.06,0.22,0.19,0.18,0.17,0.33,0.41,0.23,0.28,0.37,0.34,ESM1v
17,ESM2_150M_esm2_t30_150M_UR50D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.07,0.01,0.01,0.13,0.14,0.75,0.74,0.27,0.31,0.37,0.38,0.17,0.17,0.25,0.36,0.41,0.42,0.27,0.32,0.25,0.25,0.42,0.37,0.21,0.21,0.34,0.37,-0.11,-0.14,0.4,0.41,0.57,0.55,0.33,0.3,0.47,0.47,0.25,0.24,0.69,0.73,-0.09,0.01,0.37,0.46,0.48,0.41,-0.03,-0.01,0.55,0.53,0.39,0.16,0.2,0.19,-0.48,-0.37,0.14,0.14,0.56,0.56,-0.45,-0.47,0.48,0.48,0.31,0.32,0.08,0.04,0.14,0.16,-0.28,-0.29,-0.35,-0.29,0.42,0.49,0.45,0.47,0.36,0.45,0.62,0.58,-0.06,-0.09,0.07,0.07,0.27,0.29,0.08,0.08,-0.02,0.04,0.31,0.32,0.32,0.24,ESM2
26,EVE_evol_indices_seed_3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,-0.09,0.07,0.0,-0.43,-0.44,-0.12,-0.13,-0.37,-0.4,-0.42,-0.44,-0.18,-0.18,-0.15,-0.26,-0.39,-0.4,-0.36,-0.39,-0.08,-0.07,-0.38,-0.32,0.05,0.03,-0.1,-0.13,-0.37,-0.37,-0.49,-0.46,-0.26,-0.25,-0.14,-0.12,-0.5,-0.5,-0.4,-0.39,-0.59,-0.64,0.08,-0.02,-0.43,-0.51,-0.37,-0.33,-0.23,-0.22,-0.39,-0.38,-0.65,-0.44,0.19,0.19,0.37,0.32,-0.32,-0.32,-0.5,-0.5,0.44,0.49,-0.55,-0.55,0.42,0.4,-0.09,-0.12,-0.23,-0.24,-0.27,-0.28,0.1,0.04,-0.45,-0.52,-0.44,-0.43,-0.38,-0.44,-0.62,-0.58,0.1,0.1,-0.05,-0.05,-0.33,-0.33,-0.42,-0.41,0.02,-0.02,-0.31,-0.35,-0.32,-0.24,EVE
30,EVmutation_prediction_epistatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,-0.14,-0.0,0.44,0.44,0.02,0.04,0.38,0.41,0.16,0.17,0.28,0.28,0.14,0.26,0.49,0.5,0.31,0.31,0.23,0.22,0.35,0.29,0.03,0.04,0.14,0.16,0.32,0.32,0.41,0.39,0.1,0.11,0.26,0.24,0.48,0.48,0.42,0.42,0.57,0.61,-0.12,-0.07,0.38,0.48,0.38,0.35,0.26,0.25,0.16,0.16,0.69,0.47,-0.13,-0.14,-0.42,-0.41,0.39,0.39,0.3,0.3,-0.35,-0.36,0.45,0.45,0.64,0.62,0.15,0.19,0.22,0.23,0.11,0.13,-0.17,-0.07,0.46,0.47,0.54,0.52,0.39,0.43,0.62,0.58,-0.14,-0.16,0.38,0.38,0.29,0.29,0.43,0.43,-0.09,-0.07,0.28,0.3,0.34,0.27,EVmutation
32,GEMME_GEMME_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.1,-0.17,-0.1,0.65,0.66,0.41,0.43,0.42,0.44,0.19,0.22,0.25,0.25,0.07,0.2,0.5,0.5,0.28,0.34,0.26,0.25,0.34,0.32,-0.1,-0.08,0.04,0.08,0.39,0.42,0.38,0.36,0.1,0.13,0.21,0.19,0.57,0.58,0.36,0.36,0.47,0.54,-0.14,-0.03,0.32,0.38,0.24,0.19,0.32,0.33,0.26,0.28,0.46,0.2,0.04,0.04,-0.25,-0.15,0.22,0.22,0.33,0.33,-0.24,-0.31,0.61,0.61,0.34,0.45,0.04,0.02,0.19,0.21,0.15,0.14,-0.07,0.02,0.43,0.5,0.44,0.46,0.29,0.35,0.55,0.55,-0.13,-0.12,-0.1,-0.1,0.31,0.32,0.44,0.43,-0.03,0.01,0.35,0.36,0.3,0.22,GEMME
33,MIF_mif_mif_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.04,0.47,0.42,0.54,0.54,0.49,0.5,0.28,0.28,-0.17,-0.15,0.44,0.44,0.27,0.26,0.27,0.28,-0.08,-0.08,0.38,0.39,0.41,0.38,0.17,0.17,0.39,0.43,0.28,0.29,0.35,0.38,0.27,0.32,0.26,0.24,0.51,0.51,0.48,0.47,0.51,0.56,0.11,0.19,0.22,0.24,0.1,0.15,0.29,0.32,0.53,0.51,0.58,0.34,0.2,0.2,-0.4,-0.38,0.17,0.17,0.3,0.3,-0.12,-0.19,0.46,0.46,0.09,0.17,-0.05,0.14,0.15,0.17,0.26,0.27,-0.27,-0.17,0.26,0.35,-0.15,-0.13,0.47,0.53,0.54,0.5,0.21,0.1,-0.05,-0.05,0.34,0.34,0.56,0.55,0.38,0.43,0.39,0.44,0.33,0.36,MIF
