dataset,top_spearman,winners
AMFR_HUMAN_Tsuboyama_2023_4G3O,0.5045947313000608,Linear_regression
BBC1_YEAST_Tsuboyama_2023_1TG0,0.6014519831313724,MLP
BCHB_CHLTE_Tsuboyama_2023_2KRU,0.7971291866028709,VenusREM
CATR_CHLRE_Tsuboyama_2023_2AMI,0.7769289533995416,Linear_regression
CBPA2_HUMAN_Tsuboyama_2023_1O6X,0.7421979100918716,Linear_regression
CBX4_HUMAN_Tsuboyama_2023_2K28,0.4441436477324453,Linear_regression
CSN4_MOUSE_Tsuboyama_2023_1UFM,0.8042926829268292,SaProt_35M_AF2
CUE1_YEAST_Tsuboyama_2023_2MYX,0.6378861748580058,SaProt_35M_AF2
DNJA1_HUMAN_Tsuboyama_2023_2LO1,0.7134199134199134,Linear_regression
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,0.5500492920684773,MLP
EPHB2_HUMAN_Tsuboyama_2023_1F0M,0.6935042543663233,MULAN_small
FECA_ECOLI_Tsuboyama_2023_2D1U,0.7480396556523908,MLP
HECD1_HUMAN_Tsuboyama_2023_3DKM,0.5319685084781629,Linear_regression
ISDH_STAAW_Tsuboyama_2023_2LHR,0.4294774992449411,MLP
MAFG_MOUSE_Tsuboyama_2023_1K1V,0.5349024355504914,Linear_regression
MBD11_ARATH_Tsuboyama_2023_6ACV,0.7640395235877305,MLP
MYO3_YEAST_Tsuboyama_2023_2BTT,0.6691765693225382,MLP
NKX31_HUMAN_Tsuboyama_2023_2L9R,0.2983877015373078,Linear_regression
NUSA_ECOLI_Tsuboyama_2023_1WCL,0.7795497185741089,Linear_regression
NUSG_MYCTU_Tsuboyama_2023_2MI6,0.7,ESM-IF1
OBSCN_HUMAN_Tsuboyama_2023_1V1C,0.7122973006531077,Linear_regression
ODP2_GEOSE_Tsuboyama_2023_1W4G,1.0,EVE_single; Linear_regression; MLP; ProtGPT2; ProteinMPNN; RSALOR; VESPA; VESPAl
PIN1_HUMAN_Tsuboyama_2023_1I6C,0.3748473748473748,ProSST-1024
PITX2_HUMAN_Tsuboyama_2023_2L7M,0.619539383826899,MLP
POLG_PESV_Tsuboyama_2023_2MXD,0.7859238972391371,MLP
PR40A_HUMAN_Tsuboyama_2023_1UZC,0.5084767110864801,SaProt_35M_AF2
PSAE_PICP2_Tsuboyama_2023_1PSE,0.4834896810506567,MLP
RAD_ANTMA_Tsuboyama_2023_2CJJ,0.5831053725790568,Linear_regression
RBP1_HUMAN_Tsuboyama_2023_2KWH,0.7407179487179485,MLP
RCD1_ARATH_Tsuboyama_2023_5OAO,0.1302071668533034,Linear_regression
RCRO_LAMBD_Tsuboyama_2023_1ORC,0.6796256104177971,Linear_regression
RD23A_HUMAN_Tsuboyama_2023_1IFY,0.7784568372803666,Linear_regression
RFAH_ECOLI_Tsuboyama_2023_2LCL,0.4937127301011149,Linear_regression
RL20_AQUAE_Tsuboyama_2023_1GYZ,0.7594497230112863,SaProt_35M_AF2
RPC1_BP434_Tsuboyama_2023_1R69,0.610724836620811,Site_Independent
SAV1_MOUSE_Tsuboyama_2023_2YSB,0.6329787234042553,ProteinMPNN
SDA_BACSU_Tsuboyama_2023_1PV0,0.5168856671065801,Linear_regression
SPA_STAAU_Tsuboyama_2023_1LP1,0.348417350580886,ESCOTT
SPG2_STRSG_Tsuboyama_2023_5UBS,0.745933014354067,Linear_regression
SPTN1_CHICK_Tsuboyama_2023_1TUD,0.8333062335987693,Linear_regression
SR43C_ARATH_Tsuboyama_2023_2N88,0.7980051150895142,MLP
SRBS1_HUMAN_Tsuboyama_2023_2O2W,0.7042582417582417,Linear_regression
TCRG1_MOUSE_Tsuboyama_2023_1E0L,0.6378197997775306,Linear_regression; MLP
THO1_YEAST_Tsuboyama_2023_2WQG,0.4164502164502165,Linear_regression
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.6474129623112083,Linear_regression
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.8499999999999999,Linear_regression
VILI_CHICK_Tsuboyama_2023_1YU5,0.7413104264805904,ProSST-1024
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.5192735503430272,Linear_regression
YNZC_BACSU_Tsuboyama_2023_2JVD,0.5342866089134747,ESM-IF1
