dataset_key,dataset_pretty,model,spearman_all,spearman_epistatic,group,rank_epistatic
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,VESPA,0.5449019587679512,0.3087360029200497,top_k,1.0
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,VESPAl,0.5579027777535208,0.3056378961505915,top_k,2.0
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,Wavenet,0.4047290742638489,0.2925284996146821,top_k,3.0
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,ProtSSN_k20_h512,0.495857689693431,0.2851178168047564,top_k,4.0
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,ESCOTT,0.6321460055673047,0.2692117679434326,top_k,5.0
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,MLP,0.5410261322384238,-0.3198499132425613,baseline,
D7PM05_CLYGR_Somermeyer_2022,cgreGFP,Linear_regression,0.594293659301566,-0.326326417448998,baseline,
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,ESCOTT,0.4337032686188491,0.2399465017452352,top_k,1.0
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,PoET,0.4186593931280272,0.2345390261096487,top_k,2.0
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,RSALOR,0.5074814004182315,0.2314950887435347,top_k,3.0
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,GEMME,0.3992529459889452,0.220882637212513,top_k,4.0
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,VESPAl,0.3272744365361124,0.2073965912781867,top_k,5.0
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,MLP,0.7089244289595843,0.1759832399800315,baseline,
Q6WV12_9MAXI_Somermeyer_2022,ppluGFP,Linear_regression,0.7080269611539949,0.164314408826236,baseline,
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,PoET,0.379557820584817,0.2391857610104588,top_k,1.0
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,ESCOTT,0.4477363911220292,0.2391552820028493,top_k,2.0
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,MSA_Transformer_ensemble,0.3828494341650125,0.2348307605133485,top_k,3.0
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,TranceptEVE_L,0.3862299832669558,0.2288743629770875,top_k,4.0
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,Tranception_L,0.3719354397942019,0.2180353283529696,top_k,5.0
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,MLP,0.5843436960996379,0.1273439007227277,baseline,
Q8WTC7_9CNID_Somermeyer_2022,amacGFP,Linear_regression,0.5804488482386427,0.1459680646195947,baseline,
