dataset_key,dataset_pretty,model,spearman_all,spearman_epistatic,group,rank_epistatic
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,ProSST-1024,0.3742222693952839,0.3656126728672506,top_k,1.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,SaProt_35M_AF2,0.3092633151781139,0.3057050086419547,top_k,2.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,VenusREM,0.2813107489369991,0.213760609200538,top_k,3.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,ESM1v_ensemble,0.2595719517105334,0.1894798505192616,top_k,4.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,Site_Independent,0.1461656763424596,0.174478487958028,top_k,5.0
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,MLP,0.6135793591631117,0.5042470863446676,baseline,
AMFR_HUMAN_Tsuboyama_2023_4G3O,AMFR_HUMAN_4G3O,Linear_regression,0.6250642124075517,0.5045947313000608,baseline,
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,SaProt_35M_AF2,0.3018096407409384,0.582597555116639,top_k,1.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,ESM2_150M,-0.0988149255324827,0.5279987188384135,top_k,2.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,S3F,-0.0015480702503603,0.5082581540596809,top_k,3.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,MSA_Transformer_ensemble,-0.0007633587786259,0.5069022580472962,top_k,4.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,ESM3,0.349260663001121,0.5040283243856573,top_k,5.0
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,MLP,0.6258090697659319,0.6014519831313724,baseline,
BBC1_YEAST_Tsuboyama_2023_1TG0,BBC1_YEAST_1TG0,Linear_regression,0.6244969186896439,0.6011850744675172,baseline,
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,VenusREM,0.7101161995898838,0.7971291866028709,top_k,1.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,GEMME,0.7625557512349058,0.7765341172377328,top_k,2.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,ESM-IF1,0.7192754613807246,0.764524948735475,top_k,3.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,Tranception_M,0.5630895420369105,0.7304169514695831,top_k,4.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,ESCOTT,0.7644013056704869,0.7292332405924697,top_k,5.0
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,MLP,0.905892002734108,0.774395078605605,baseline,
BCHB_CHLTE_Tsuboyama_2023_2KRU,BCHB_CHLTE_2KRU,Linear_regression,0.9065618591934383,0.7757347915242653,baseline,
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,SaProt_35M_AF2,0.7555385790679907,0.6935064935064935,top_k,1.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,ESM2_150M,0.7934300993124522,0.6886172650878534,top_k,2.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,VenusREM,0.8074866310160428,0.6663101604278074,top_k,3.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,ESM1b,0.6770053475935829,0.6571428571428571,top_k,4.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,PoET,0.6446142093200917,0.6363636363636364,top_k,5.0
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,MLP,0.8528953399541634,0.7764400305576776,baseline,
CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE_2AMI,Linear_regression,0.8680519480519481,0.7769289533995416,baseline,
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,ProSST-1024,0.7540181958444109,0.6547762497688858,top_k,1.0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,SaProt_35M_AF2,0.616535648936238,0.6408010251898321,top_k,2.0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,VenusREM,0.6320792609452403,0.6369374366428858,top_k,3.0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,GEMME,0.4896876534920937,0.54208179702196,top_k,4.0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,Progen2_xlarge,0.4900828185069716,0.5413805634718741,top_k,5.0
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,MLP,0.813303240696466,0.7414404937232624,baseline,
CBPA2_HUMAN_Tsuboyama_2023_1O6X,CBPA2_HUMAN_1O6X,Linear_regression,0.8133287429310994,0.7421979100918716,baseline,
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,ESM-IF1,0.1605798413525008,0.3801701974204335,top_k,1.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,S2F_MSA,0.3473399245220211,0.3774882451811232,top_k,2.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,ESM3,0.2397848130277721,0.3681145513723461,top_k,3.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,DeepSequence_ensemble,0.466979960382257,0.3641301812303693,top_k,4.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,EVE_single,0.2183578180736093,0.3551272950109636,top_k,5.0
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,MLP,0.5455752831685116,0.443969390186854,baseline,
CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN_2K28,Linear_regression,0.5518904169698101,0.4441436477324453,baseline,
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,SaProt_35M_AF2,0.6122926829268293,0.8042926829268292,top_k,1.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,ESM3,0.5442391817466561,0.8009567269866247,top_k,2.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,VenusREM,0.6649189614476789,0.791194335169158,top_k,3.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,ProSST-1024,0.393831628638867,0.7845538945712036,top_k,4.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,ESM-IF1,0.4869866247049567,0.7661746656176238,top_k,5.0
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,MLP,0.6153148775789802,0.632068134374902,baseline,
CSN4_MOUSE_Tsuboyama_2023_1UFM,CSN4_MOUSE_1UFM,Linear_regression,0.7822929976396538,0.7691644374508261,baseline,
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,SaProt_35M_AF2,0.4622484323188548,0.6378861748580058,top_k,1.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,VenusREM,0.6095571095571095,0.5703814964378345,top_k,2.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,ESM1v_ensemble,0.4131865786795364,0.5001272201976427,top_k,3.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,ProSST-1024,0.2872549985226041,0.4875283167536688,top_k,4.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,Unirep,0.0796316359696641,0.4692947897173248,top_k,5.0
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,MLP,0.6496259765216106,0.5007157162086739,baseline,
CUE1_YEAST_Tsuboyama_2023_2MYX,CUE1_YEAST_2MYX,Linear_regression,0.6650018456746762,0.5002134016218522,baseline,
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,ESM2_150M,0.4708967223252937,0.5169202226345083,top_k,1.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,ESM1b,0.5016202844774273,0.5162646876932591,top_k,2.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,ProSST-1024,0.6066048237476808,0.5093506493506493,top_k,3.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,ESM-IF1,0.2433395176252318,0.4961286332714904,top_k,4.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,Tranception_M,0.6547309833024119,0.4905009276437847,top_k,5.0
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,MLP,0.6930439084724798,0.71178231292517,baseline,
DNJA1_HUMAN_Tsuboyama_2023_2LO1,DNJA1_HUMAN_2LO1,Linear_regression,0.6987482993197278,0.7134199134199134,baseline,
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE_2M0Y,VenusREM,0.4137229965765572,0.4062307080585913,top_k,1.0
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE_2M0Y,EVE_single,0.4227898781305227,0.382643050241907,top_k,2.0
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,DOCK1_MOUSE_2M0Y,SiteRM,0.3831513250618665,0.3708314846601599,top_k,3.0
