,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV12_9MAXI_Somermeyer_2022_all,Q6WV12_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
Site_Independent,0.49742994277046193,0.12235991924496564,0.3362630210417187,0.13636709759377677,0.24278398161636072,0.12365133524797582
EVmutation,0.5852654608310232,0.22396186926233622,0.39826401692962377,0.14868147972092738,0.34793274876149394,0.16838902220412055
DeepSequence_single,0.5988269178031113,0.18077027879127044,0.24875704211894759,0.16788629970777652,0.20905543481237232,0.18203762174279228
DeepSequence_ensemble,0.5600802178692301,0.1683023089933739,0.24852970783917183,0.17076843800562336,0.19982912388767748,0.1549083070352319
EVE_single,0.6049988265027475,0.19731676538226306,0.30688172129881214,0.20525512913549357,0.3230088186105421,0.17630856762394584
EVE_ensemble,0.610159444854175,0.19315556608843912,0.3083622335390444,0.20401820612800975,0.31754777786501437,0.17580695705772983
Unirep,0.08252922602386295,0.03185829711714232,-0.02202732140305772,0.004778903756003458,0.16106722626297124,0.004730741705672275
Unirep_evotune,0.4047620762485664,0.14026111789115903,0.10771727797458698,-0.008754209595259401,0.2913717554809159,0.19054875970375781
MSA_Transformer_single,0.628318930899176,0.22221012727788894,0.38210753516109447,0.1991591644686802,0.37073421769680065,0.23559523398289633
MSA_Transformer_ensemble,0.6323678043660785,0.2210040238416174,0.37427217631455983,0.19855055504091107,0.3828494341650125,0.23483076051334859
ESM1b,0.41000589576271135,0.24963398729386044,0.19483800912476204,0.1430292378082348,0.28163581403834015,0.049414465828672476
ESM1v_single,0.10711833163996103,-0.011558383004578593,0.020502913153857195,-0.03495342087502287,0.07447600489737967,-0.08527926397943825
ESM1v_ensemble,0.10034818502193944,-0.01573449894422549,0.00795696030479335,-0.04773954488154334,0.08111619076271025,-0.07252454877868875
ESM2_8M,0.10252513107556847,-0.0033333481823711324,0.012897779510804576,-0.05153333879956794,0.07676034874811642,-0.09560565168868294
ESM2_35M,0.0964050452134925,-0.011427307988434747,0.029864617581524058,-0.037282709103178394,0.06499288016269388,-0.07799927806354838
ESM2_150M,0.06732112075456434,-0.031998581672242225,0.009792983692055918,-0.0769799586980561,0.0431197381903506,-0.031595238806134414
ESM2_650M,0.0926824017516036,-0.024983741533111975,0.00934090276152946,-0.07605011541069488,0.007017912013877599,-0.03308421327623405
ESM2_3B,0.09930855395321952,-0.0303438759321979,0.011932138605422181,-0.06572867690834462,0.06702640585659118,-0.0697879336200526
ESM2_15B,0.15141467274399448,-0.022295734212398766,-0.011660826881246398,-0.06493179757904396,0.08111219366060923,-0.04181719844012717
Wavenet,0.4047290742638489,0.2925284996146821,0.278576544570649,0.17433437574330493,0.2591930850166005,0.09099782532517325
RITA_s,0.07839245046937227,0.02741619161604558,0.018941711502758397,-0.0362120420254269,0.08417099707082178,-0.0914994798110726
RITA_m,0.08851069179847579,-0.00465148590062363,0.0707524390860871,0.0010426444613790555,0.1837517799618229,-0.002257944842409486
