,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV12_9MAXI_Somermeyer_2022_all,Q6WV12_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
CARP_600K,0.0299996952597822,-0.0107792234707436,-0.0315870572679728,-0.036665249288868,0.0896110320029172,-0.0306898623833758
DeepSequence_single,0.5988269178031113,0.1807702787912704,0.2487570421189475,0.1678862997077765,0.2090554348123723,0.1820376217427922
ESCOTT,0.6321460055673047,0.2692117679434326,0.4337032686188491,0.2399465017452352,0.4477363911220292,0.2391552820028493
ESM-IF1,0.4955393037803338,0.2186078932152984,0.2969485811058505,0.1234947339858994,0.2874476004932328,0.0552154703917116
ESM1b,0.4100058957627113,0.2496339872938604,0.194838009124762,0.1430292378082348,0.2816358140383401,0.0494144658286724
ESM1v_single,0.107118331639961,-0.0115583830045785,0.0205029131538571,-0.0349534208750228,0.0744760048973796,-0.0852792639794382
ESM2_15B,0.1514146727439944,-0.0222957342123987,-0.0116608268812463,-0.0649317975790439,0.0811121936606092,-0.0418171984401271
ESM3,0.4691797707494865,0.1539340044635258,0.1432634854881225,0.0468315538994937,0.2249095530311045,0.0991097382520415
ESMC-300M,0.0944786633234218,-0.0142474973356407,-0.0047644751668092,-0.0553147112104115,0.0761964346754445,-0.0596788465778266
EVE_ensemble,0.610159444854175,0.1931555660884391,0.3083622335390444,0.2040182061280097,0.3175477778650143,0.1758069570577298
EVmutation,0.5852654608310232,0.2239618692623362,0.3982640169296237,0.1486814797209273,0.3479327487614939,0.1683890222041205
GEMME,0.5773230302114961,0.2568221152705067,0.3992529459889452,0.220882637212513,0.424314372085538,0.2102332020608199
Linear_regression,0.594293659301566,-0.326326417448998,0.7080269611539949,0.164314408826236,0.5804488482386427,0.1459680646195947
MIF,0.2796114503660544,0.0742560810484819,0.1483574613581151,0.0714119529846539,0.1490099677752242,0.0154723434366125
MIFST,0.3387912948627573,0.0474788513155549,0.1557662855576923,0.0445505417330235,0.2431826925509381,-0.0632294507695398
MLP,0.5410261322384238,-0.3198499132425613,0.7089244289595843,0.1759832399800315,0.5843436960996379,0.1273439007227277
MSA_Transformer_ensemble,0.6323678043660785,0.2210040238416174,0.3742721763145598,0.198550555040911,0.3828494341650125,0.2348307605133485
MULAN_small,0.1964805084928801,0.0548346222252262,0.0406488889536721,0.001189540761051,0.1259626770607043,0.0657402214783488
PoET,0.6611349391503396,0.2462524845548926,0.4186593931280272,0.2345390261096487,0.379557820584817,0.2391857610104588
ProSST-4096,0.6254080872969702,0.1045382489571772,0.4504463344529111,0.2041874904071557,0.5722840940389702,0.1182315681079856
Progen2_xlarge,0.3775436177247102,0.0254538858994492,-0.0064672581003455,-0.0802968372292918,0.3585780309320532,0.1620094161523647
Progen3_3b,0.1378201799344676,0.0273584102890857,-0.0198917768524498,-0.0535625044186905,0.3206375377891079,0.1696926243492514
ProtGPT2,-0.0179339444109431,-0.0418277730381793,0.0404555009312174,0.0130994764999955,0.0653616128315135,-0.1217066746313221
ProtSSN_k20_h512,0.495857689693431,0.2851178168047564,0.2395194568204371,0.1702515912230629,0.3247735391881453,0.065213584199327
ProteinMPNN,0.4278364372191641,0.1945232262360036,0.1584673085415991,0.1077476779058561,0.1484413800013532,0.1692389368261472
RITA_m,0.0885106917984757,-0.0046514859006236,0.0707524390860871,0.001042644461379,0.1837517799618229,-0.0022579448424094
RSALOR,0.6462760612682282,0.1736228996031721,0.5074814004182315,0.2314950887435347,0.4876224737126492,0.212173865430574
S2F_MSA,0.5642291940921514,0.1667328504807517,0.2609942987539129,0.1283107937627501,0.3600369731989279,0.0640004197652995
S3F_MSA,0.5981751726728715,0.1688152264374563,0.2936892421370145,0.1554258945614402,0.3910754702889255,0.0365813046575184
SaProt_650M_AF2,0.3219317756011575,0.1172428500152817,0.0741497210401016,0.0193112132480978,0.1563996102844973,0.1101386421038903
Site_Independent,0.4974299427704619,0.1223599192449656,0.3362630210417187,0.1363670975937767,0.2427839816163607,0.1236513352479758
SiteRM,0.6358151897311006,0.2424352155566325,0.3627667302707448,0.2012803573552176,0.4308036673465549,0.1383267275839813
TranceptEVE_L,0.5927811990246985,0.1948920967645968,0.3032367187942542,0.1631912802861979,0.3862299832669558,0.2288743629770875
Tranception_L,0.4908151724931894,0.1668718850085308,0.2429734306415737,0.0815557162087774,0.3719354397942019,0.2180353283529696
Unirep_evotune,0.4047620762485664,0.140261117891159,0.1077172779745869,-0.0087542095952594,0.2913717554809159,0.1905487597037578
VESPA,0.5449019587679512,0.3087360029200497,0.3152662548488891,0.2069852892435259,0.3468885058376006,0.1150137843538105
VESPAl,0.5579027777535208,0.3056378961505915,0.3272744365361124,0.2073965912781867,0.3524634639930076,0.1264544046363177
VenusREM,0.5624586718871124,0.2551308197497236,0.2716468262405241,0.1881946050556006,0.3777711159456581,0.0307593145482563
VespaG,0.5715344233347924,0.247141719956575,0.3389361678376256,0.1703347547092478,0.3631736990727087,0.0886769238440951
Wavenet,0.4047290742638489,0.2925284996146821,0.278576544570649,0.1743343757433049,0.2591930850166005,0.0909978253251732
xTrimoPGLM-100B-int4,0.4498103825805584,0.0480182786584996,0.0863032293330402,0.0276556525611842,0.327805341131774,0.1823314193899126
