,AMFR_HUMAN_Tsuboyama_2023_4G3O_all,AMFR_HUMAN_Tsuboyama_2023_4G3O_epistatic,BBC1_YEAST_Tsuboyama_2023_1TG0_all,BBC1_YEAST_Tsuboyama_2023_1TG0_epistatic,BCHB_CHLTE_Tsuboyama_2023_2KRU_all,BCHB_CHLTE_Tsuboyama_2023_2KRU_epistatic,CATR_CHLRE_Tsuboyama_2023_2AMI_all,CATR_CHLRE_Tsuboyama_2023_2AMI_epistatic,CBPA2_HUMAN_Tsuboyama_2023_1O6X_all,CBPA2_HUMAN_Tsuboyama_2023_1O6X_epistatic,CBX4_HUMAN_Tsuboyama_2023_2K28_all,CBX4_HUMAN_Tsuboyama_2023_2K28_epistatic,CSN4_MOUSE_Tsuboyama_2023_1UFM_all,CSN4_MOUSE_Tsuboyama_2023_1UFM_epistatic,CUE1_YEAST_Tsuboyama_2023_2MYX_all,CUE1_YEAST_Tsuboyama_2023_2MYX_epistatic,DNJA1_HUMAN_Tsuboyama_2023_2LO1_all,DNJA1_HUMAN_Tsuboyama_2023_2LO1_epistatic,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_all,DOCK1_MOUSE_Tsuboyama_2023_2M0Y_epistatic,EPHB2_HUMAN_Tsuboyama_2023_1F0M_all,EPHB2_HUMAN_Tsuboyama_2023_1F0M_epistatic,FECA_ECOLI_Tsuboyama_2023_2D1U_all,FECA_ECOLI_Tsuboyama_2023_2D1U_epistatic,HECD1_HUMAN_Tsuboyama_2023_3DKM_all,HECD1_HUMAN_Tsuboyama_2023_3DKM_epistatic,ISDH_STAAW_Tsuboyama_2023_2LHR_all,ISDH_STAAW_Tsuboyama_2023_2LHR_epistatic,MAFG_MOUSE_Tsuboyama_2023_1K1V_all,MAFG_MOUSE_Tsuboyama_2023_1K1V_epistatic,MBD11_ARATH_Tsuboyama_2023_6ACV_all,MBD11_ARATH_Tsuboyama_2023_6ACV_epistatic,MYO3_YEAST_Tsuboyama_2023_2BTT_all,MYO3_YEAST_Tsuboyama_2023_2BTT_epistatic,NKX31_HUMAN_Tsuboyama_2023_2L9R_all,NKX31_HUMAN_Tsuboyama_2023_2L9R_epistatic,NUSA_ECOLI_Tsuboyama_2023_1WCL_all,NUSA_ECOLI_Tsuboyama_2023_1WCL_epistatic,NUSG_MYCTU_Tsuboyama_2023_2MI6_all,NUSG_MYCTU_Tsuboyama_2023_2MI6_epistatic,OBSCN_HUMAN_Tsuboyama_2023_1V1C_all,OBSCN_HUMAN_Tsuboyama_2023_1V1C_epistatic,ODP2_GEOSE_Tsuboyama_2023_1W4G_all,ODP2_GEOSE_Tsuboyama_2023_1W4G_epistatic,PIN1_HUMAN_Tsuboyama_2023_1I6C_all,PIN1_HUMAN_Tsuboyama_2023_1I6C_epistatic,PITX2_HUMAN_Tsuboyama_2023_2L7M_all,PITX2_HUMAN_Tsuboyama_2023_2L7M_epistatic,POLG_PESV_Tsuboyama_2023_2MXD_all,POLG_PESV_Tsuboyama_2023_2MXD_epistatic,PR40A_HUMAN_Tsuboyama_2023_1UZC_all,PR40A_HUMAN_Tsuboyama_2023_1UZC_epistatic,PSAE_PICP2_Tsuboyama_2023_1PSE_all,PSAE_PICP2_Tsuboyama_2023_1PSE_epistatic,RAD_ANTMA_Tsuboyama_2023_2CJJ_all,RAD_ANTMA_Tsuboyama_2023_2CJJ_epistatic,RBP1_HUMAN_Tsuboyama_2023_2KWH_all,RBP1_HUMAN_Tsuboyama_2023_2KWH_epistatic,RCD1_ARATH_Tsuboyama_2023_5OAO_all,RCD1_ARATH_Tsuboyama_2023_5OAO_epistatic,RCRO_LAMBD_Tsuboyama_2023_1ORC_all,RCRO_LAMBD_Tsuboyama_2023_1ORC_epistatic,RD23A_HUMAN_Tsuboyama_2023_1IFY_all,RD23A_HUMAN_Tsuboyama_2023_1IFY_epistatic,RFAH_ECOLI_Tsuboyama_2023_2LCL_all,RFAH_ECOLI_Tsuboyama_2023_2LCL_epistatic,RL20_AQUAE_Tsuboyama_2023_1GYZ_all,RL20_AQUAE_Tsuboyama_2023_1GYZ_epistatic,RPC1_BP434_Tsuboyama_2023_1R69_all,RPC1_BP434_Tsuboyama_2023_1R69_epistatic,SAV1_MOUSE_Tsuboyama_2023_2YSB_all,SAV1_MOUSE_Tsuboyama_2023_2YSB_epistatic,SDA_BACSU_Tsuboyama_2023_1PV0_all,SDA_BACSU_Tsuboyama_2023_1PV0_epistatic,SPA_STAAU_Tsuboyama_2023_1LP1_all,SPA_STAAU_Tsuboyama_2023_1LP1_epistatic,SPG2_STRSG_Tsuboyama_2023_5UBS_all,SPG2_STRSG_Tsuboyama_2023_5UBS_epistatic,SPTN1_CHICK_Tsuboyama_2023_1TUD_all,SPTN1_CHICK_Tsuboyama_2023_1TUD_epistatic,SR43C_ARATH_Tsuboyama_2023_2N88_all,SR43C_ARATH_Tsuboyama_2023_2N88_epistatic,SRBS1_HUMAN_Tsuboyama_2023_2O2W_all,SRBS1_HUMAN_Tsuboyama_2023_2O2W_epistatic,TCRG1_MOUSE_Tsuboyama_2023_1E0L_all,TCRG1_MOUSE_Tsuboyama_2023_1E0L_epistatic,THO1_YEAST_Tsuboyama_2023_2WQG_all,THO1_YEAST_Tsuboyama_2023_2WQG_epistatic,UBE4B_HUMAN_Tsuboyama_2023_3L1X_all,UBE4B_HUMAN_Tsuboyama_2023_3L1X_epistatic,UBR5_HUMAN_Tsuboyama_2023_1I2T_all,UBR5_HUMAN_Tsuboyama_2023_1I2T_epistatic,VILI_CHICK_Tsuboyama_2023_1YU5_all,VILI_CHICK_Tsuboyama_2023_1YU5_epistatic,YAIA_ECOLI_Tsuboyama_2023_2KVT_all,YAIA_ECOLI_Tsuboyama_2023_2KVT_epistatic,YNZC_BACSU_Tsuboyama_2023_2JVD_all,YNZC_BACSU_Tsuboyama_2023_2JVD_epistatic
CARP_76M,-0.2684612903550115,-0.1515290856811316,-0.0971654299898574,0.3926333208775956,0.1512645249487355,0.212781954887218,0.6867838044308633,0.5181054239877769,0.357024909307678,0.3115416738391701,0.4200697534545739,0.2630816097765796,0.4423981117230526,0.6808497246262784,0.1608637841032207,0.3478159164778883,0.6545083487940632,0.4215831787260358,0.3438569164025578,0.214253720201065,0.1274070756829377,0.3940461262875056,0.4674447295922015,0.4387815485906483,0.0138117839507582,0.1253960517273763,0.2666868015705225,0.1035940803382663,-0.2887409200968523,-0.118494516450648,0.2983565107458913,0.2544081442544414,0.2493710757827446,0.2687354200524128,0.1521499812523434,-0.0969148856392951,0.4594746716697937,-0.4294559099437149,0.7610389610389611,0.3298701298701298,0.6550159995459108,0.5667536117230672,0.7999999999999999,0.7999999999999999,0.3211233211233211,0.0982905982905982,-0.3200034019218834,-0.4078063982455803,0.1322312596842868,0.3465887438747563,0.2564173615134645,0.2857193238783787,-0.1542213883677298,-0.2146341463414634,0.4563956669219827,0.4321041689462742,0.3552136752136752,0.5172649572649572,-0.3569148936170213,-0.2727043673012318,0.1404774823657081,0.1341833966359197,0.3402597402597402,0.6589763177998471,-0.4592947886958776,-0.2418978480684469,0.3082138853517049,0.4556654803495826,0.1778222076333144,0.323043179851392,0.1569691706469822,0.0513460703430308,-0.0852348437031794,0.1578397057042123,-0.2061310190369541,-0.0391237402015677,-0.1689678742310321,-0.2223513328776487,0.4817161625644737,0.3968270688173015,0.2145049324077457,0.4344172451589332,0.3969322344322344,0.2214285714285714,0.593325917686318,0.4812013348164627,0.1616161616161616,0.0078643578643578,0.1548547959442411,0.1617526985249956,0.0,-0.0499999999999999,0.0148273169257122,-0.0700052900722976,0.1718812600935942,0.4423073904728861,0.1560379918588874,0.3424068468844589
DeepSequence_ensemble,0.1310619833705068,0.1353937010447862,-0.0670154273207708,-0.0680029893770351,0.5962406015037595,0.6284347231715653,-0.0585179526355996,0.0768525592055003,0.4560245841541865,0.4251413780132484,0.466979960382257,0.3641301812303693,0.1393296616837136,0.1897340676632572,0.3634598969106011,0.1506533372730555,0.3811131725417439,0.3682622139764996,0.2443557669602306,0.2810203828791862,0.0323242274966412,0.2282669055082848,0.3513103190189836,0.2805453336761191,-0.0172250044344497,0.0751123052193031,0.1014799154334038,-0.1185442464512231,0.4050918672553767,0.4565945022076627,0.4737257967928672,0.3575337680484397,0.2429112344805391,0.3073787153254614,0.2131323584551931,-0.1028721409823772,0.4874296435272046,-0.1091932457786116,0.6155844155844156,0.5922077922077922,0.7029144183934468,0.5531786828814319,0.3999999999999999,0.3999999999999999,0.329059829059829,0.1916971916971917,0.4094344608611925,0.2999340877635097,0.1814977495562046,0.3044526017908063,0.2444769126130438,0.2735975010706098,0.0568480300187617,-0.3575984990619137,0.4270707954918481,0.4167852062588904,0.0981196581196581,0.3237606837606838,-0.3344904815229563,-0.1664893617021276,0.2094275637547477,-0.1391616928920238,0.2849503437738731,0.4022918258212375,-0.5281954887218046,-0.3984962406015038,0.4056877918176771,0.4505501681522839,0.3675360329444063,0.4179373936916235,0.1052974381241858,0.0511289622231871,0.2823671174186637,0.0476445498536809,0.0967945128779395,0.0522676371780515,0.1264524948735475,0.0697197539302802,0.5782112478508732,0.6379456610261515,0.4268542199488491,0.6276214833759592,0.4353937728937728,0.1429029304029304,0.614238042269188,0.3619577308120133,0.0106060606060606,-0.1208513708513708,0.2863739524866409,0.2917134029387392,0.0999999999999999,0.1999999999999999,0.14637378139406,0.0944504622515555,0.3383368648005649,0.2264277660062203,0.3717566016073479,0.2936019204675921
ESCOTT,0.1233171348308268,0.0881803845295202,-0.1558641913525534,-0.0122137404580152,0.7644013056704869,0.7292332405924697,0.3867369558234668,0.252177911826879,0.5173077796532913,0.5153071351510934,0.1332140298177014,0.3517647642935011,0.3169346970889063,0.5333060582218724,0.3384329575628913,0.1422280478641124,0.4889174749170633,0.35617920896648,0.3678346996664377,0.3416858729865497,0.3965942678011644,0.389332736229288,0.344805502016402,0.2438671165486469,-0.0197009606925523,0.0739013006056407,0.2562669888251284,-0.1694352159468438,0.4137290059480621,0.418371036784481,0.4370729557316131,0.3880996739636703,0.1055636190965496,0.0800022763254239,0.3431936155888608,-0.0329508811398575,0.55328330206379,0.0048780487804878,0.5903776123026898,0.525405414274475,0.6464255559930893,0.500099627623281,0.7999999999999999,0.3999999999999999,0.0555555555555555,0.0012210012210012,0.2156064724617714,0.2070399045031753,0.4485362944525076,0.3273029852635344,0.2320024183187646,0.2222586089628939,0.3201311258961485,0.1147494846562588,0.2344895502790239,0.4493927125506073,0.2676923076923077,0.5193162393162393,-0.1009238521836506,-0.0297452407614781,0.4045849158979924,-0.0109061313076505,0.3967914438502674,0.5150496562261269,-0.3581799325900959,-0.1140782991962665,0.5088211926295971,0.6070569541036775,0.4737548864551937,0.5890901495031481,0.127008250108554,0.0693660442900564,0.3300060271100543,0.0958377764588757,0.256365570651805,0.348417350580886,0.2215082799363287,0.4042447752602396,0.5476685767861941,0.6668778090210751,0.4083668249908659,0.5829009864815492,0.4759157509157509,0.2716117216117215,0.6591768631813125,0.5038389064519718,-0.0389176806521698,-0.072187449280309,0.3568588922387505,0.3875761409323965,0.25,0.2833333333333333,0.1289417336322644,0.0960377258680677,0.4126528473733353,0.3105088484477036,0.4089889049778198,0.3339421964541743
ESM-IF1,0.1633395649021212,0.1663817878872432,0.4976245128916884,0.3373245075535152,0.7192754613807246,0.764524948735475,0.6629488158899923,0.5621084797555385,0.3695720087472664,0.4972616975562483,0.1605798413525008,0.3801701974204335,0.4869866247049567,0.7661746656176238,0.4644275911881545,0.2969196296661085,0.2433395176252318,0.4961286332714904,0.0371511831684793,-0.1032263803102805,0.4235333631885356,0.6023936408419167,0.3417113023477278,0.2081617502764851,0.1266196965372958,0.2092126562671391,0.1061612805798852,0.0628209000302023,-0.0016593077909129,0.014969377581541,0.6490701310799122,0.5027613280990086,0.3367228275753159,0.3093749937532358,0.2965999250093739,0.1159565054368204,0.5101313320825517,-0.1210131332082551,0.8077922077922077,0.7,0.657660566026803,0.4962957444518943,0.7999999999999999,0.7999999999999999,0.2301587301587301,0.0128205128205128,0.4239756519590919,0.2962466474363582,0.5983876883146194,0.4945160352258472,0.6823538302642518,0.48161322014258,0.2026266416510319,0.0258911819887429,0.4380129116971222,0.465149359886202,0.3217094017094017,0.6027350427350426,-0.1683930571108622,-0.0575447928331466,0.5307243624525231,0.4700217037438958,0.1807486631016042,0.5599694423223834,0.0865309826289862,0.1438942183043816,0.4857914040987799,0.6234694877069252,0.2934558801587538,0.458565844051207,0.4569040382110291,0.4117455492835432,0.2770116481456687,0.197788956257292,0.4541293393057111,0.3416573348264278,0.3909774436090226,0.4367737525632262,0.3463098644919011,0.3271741527916025,0.3600292290829375,0.5805261234928755,0.5367673992673991,0.4005494505494505,0.8229143492769745,0.6155728587319244,0.2003607503607504,0.3840548340548341,0.2992940478836418,0.3197476791337583,0.2833333333333333,0.75,0.6620903342821877,0.6511474418721818,0.4618349586343341,0.2061484703170885,0.3544723932783634,0.5342866089134747
ESM1b,0.0658738296030996,0.0793449617494408,-0.1738269364223562,0.2442107510809801,0.2807245386192755,0.2748462064251538,0.6770053475935829,0.6571428571428571,0.4102480729873954,0.433429604269074,0.1999813385551754,0.1962049177950746,0.3031628638867034,0.4226089693154995,0.300194523786073,0.3922650119833218,0.5016202844774273,0.5162646876932591,0.3475937952351353,0.2467700723550384,0.2560210479175996,0.3494245409762651,0.4456910151074222,0.3356080923817883,-0.0138180865028731,0.0072947723913164,0.4207188160676532,0.0682573240712775,-0.1274889616863694,-0.0366329582680529,0.3650858340541619,0.3390694656996473,0.4871563405156129,0.4486502241838728,0.1685399325084364,-0.1082354705661792,0.4947467166979363,-0.3161350844277674,0.4831168831168831,0.2662337662337662,0.4905216289500727,0.3777341426525662,0.7999999999999999,0.7999999999999999,0.3644688644688644,0.155067155067155,0.176471660269501,-0.0376691975210519,0.1127558062317978,0.2851956822729264,0.1667481169861702,0.1644607904879461,0.2078799249530957,0.1024390243902439,0.3677645256592624,0.4356056461319619,0.4215384615384615,0.606153846153846,-0.3155515117581187,-0.1957306830907055,0.1309278350515464,0.159875203472599,0.0053475935828876,0.4203208556149732,-0.5198988851438943,-0.4594244231267825,0.3922138418171331,0.4821562673458059,0.1210348840679179,0.280475067888156,0.2884281372123317,0.0610073816760746,0.2560615623944048,0.0574501590701885,-0.2133678611422172,-0.0999580067189249,-0.0532467532467532,-0.008133971291866,0.511854130847887,0.4674336598497873,0.407964925100475,0.5570697844355134,0.2888278388278388,0.2344322344322344,0.5341490545050055,0.3170189098998887,-0.2056998556998557,-0.1203463203463203,0.1677483275785967,0.1428559801335253,0.6333333333333333,-0.2166666666666666,0.2455953850416908,0.1317832581807189,0.1741967460937016,0.1277416370312545,0.3893330550046969,0.2879657655777059
ESM1v_ensemble,0.2595719517105334,0.1894798505192616,-0.0923877649068488,0.4462339187530026,0.2889952153110048,0.3508544087491456,0.654087089381207,0.5828877005347594,0.4435412403011813,0.4625531562203137,0.2266810746470401,0.2470409631322982,0.4061243115656962,0.5930007867820613,0.4131865786795364,0.5001272201976427,0.5195052566481138,0.4403834260977118,0.3613728079324756,0.2534438266316945,0.1378101209135692,0.3437931034482758,0.276812213721878,0.3846497880153767,0.1641942172012274,0.1089564920582015,0.3199939595288432,0.0835095137420718,-0.2071143711721977,-0.0157883492380002,0.130955153370151,0.2196752944307672,0.4132882916649176,0.3954486575953656,0.1984581927259092,-0.0254998125234345,0.426266416510319,-0.399624765478424,0.6402597402597403,0.3103896103896104,0.6576126738162049,0.5488534545656649,0.0,0.3999999999999999,0.3113553113553113,0.0689865689865689,-0.1290664863108081,-0.2401058240700148,0.0973428704117639,0.2852798840272744,0.1069350328740207,0.2821623800287176,0.1703564727954972,0.0634146341463414,0.4113141481562534,0.4152533099901521,0.3258119658119658,0.6054700854700855,-0.3427351623740202,-0.2737961926091825,-0.1334644601193706,0.0010580575149213,0.3381207028265852,0.5899159663865545,-0.4278584392014519,-0.2541483017889552,0.2908218238808894,0.4295229699284945,0.171600370027752,0.3794873325176807,0.1581632653061224,0.067629179331307,-0.1518211783307512,-0.1453308596165738,-0.2970184770436729,-0.0814669652855543,-0.2403280929596719,-0.2996582365003418,0.4828458680209934,0.5207836112116551,0.3190719766167337,0.4663865546218487,0.3602564102564102,0.1111721611721611,0.6057842046718577,0.4384872080088987,-0.0422077922077922,-0.0203463203463203,0.2017579039491907,0.2930267439848058,0.2166666666666666,-0.5833333333333334,0.3199889160389954,0.2020051893090158,0.3053186787769145,0.2952752685773763,0.2519361235779147,0.3290888216261351
ESM2_150M,-0.036975677873327,0.0791795996578268,-0.0988149255324827,0.5279987188384135,0.271907040328093,0.3613807245386193,0.7934300993124522,0.6886172650878534,0.3389310738353447,0.3907006101409636,0.2708904157089016,0.2479910576373854,0.2194996066089693,0.4842989771833201,0.386724777569848,0.3240011162546374,0.4708967223252937,0.5169202226345083,0.3428281893450773,0.2438856127517681,0.270154500671742,0.4572301836094941,0.4076509182957866,0.3721604176713181,0.2080242366799986,0.2039037489781555,0.3719420114768952,-0.0021141649048625,-0.2698618430423017,-0.0709941603760148,0.5704305010313394,0.4016235278461641,0.5367542737861788,0.5467302937078593,0.3967994000749907,0.0856962879640045,0.452157598499062,-0.3395872420262665,0.5818181818181818,0.2961038961038961,0.7382364018641303,0.5922879941914434,0.7999999999999999,0.7999999999999999,0.3992673992673993,0.0732600732600732,0.4668530298873012,0.382839734042607,-0.0153509780858423,0.2405432532259254,0.4537118673955211,0.2580598030077839,0.2390243902439024,0.1082551594746716,0.2088849983586825,0.5301455301455302,0.295042735042735,0.587008547008547,-0.3705767077267637,-0.2292413213885778,0.1497151383613673,0.2144194248507867,0.2770053475935828,0.5935828877005347,-0.5989110707803993,-0.4084132745657247,0.4399930344684973,0.5598001763150162,0.2396974127898301,0.3697442630777952,0.0323491098567086,0.122883195831524,0.2511523822274926,0.0880018361608935,-0.2602323628219484,-0.121038633818589,-0.2699248120300752,-0.3585782638414217,0.4559740068772056,0.5305762770337525,0.373109243697479,0.619364267446109,0.5458333333333333,0.2179487179487179,0.5870967741935484,0.4562847608453838,-0.111038961038961,-0.0377344877344877,0.2901406850856994,0.2931584000744143,0.1999999999999999,-0.3666666666666667,0.1262110486938559,0.0770788724588759,0.3241027801527411,0.0574195920019495,0.383195908569043,0.20196221688759
ESM3,-0.139627281147789,0.0108606727875087,0.349260663001121,0.5040283243856573,0.6075187969924812,0.6946684894053317,0.6806722689075629,0.495187165775401,0.4040382788541845,0.4386575623689025,0.2397848130277721,0.3681145513723461,0.5442391817466561,0.8009567269866247,0.3637855961552522,0.3000494518240907,0.6569613912394724,0.4424393471905707,0.2092349926407136,0.2491392075430733,0.4244837776330174,0.523731287055072,0.3660348167824117,0.3487212408533385,0.1013385048809758,0.1641916554627296,0.475838115372999,0.0478707339172455,0.0546504320084045,0.0239389828337325,0.6391393306274538,0.605828731119835,0.4384398154474379,0.399554543024035,0.3479215535720297,0.0110326374692849,0.4690431519699813,-0.0302063789868667,0.4597402597402596,0.5012987012987012,0.6794864370932046,0.5204476371779585,0.7999999999999999,0.3999999999999999,0.2417582417582417,0.2692307692307693,0.3156975512442826,0.0709828817636392,0.5157847538960496,0.4739519826796546,0.3805073431241655,0.2180623675911082,0.2298311444652908,-0.0028143909219947,0.3141481562534194,0.4596783017835649,0.3169230769230768,0.6136752136752136,-0.2015061695609933,-0.0721724524076147,0.1708633032541812,0.0564163606092521,0.2366692131398013,0.5761650114591291,-0.0433627171376717,-0.128208452164895,0.30556160210778,0.4675228559266892,0.0178524135822822,0.2057682551997851,0.3623534520191055,0.2475032566217976,0.0755312434252051,0.0309853138539717,0.4309715529546018,0.2988941769316909,0.0356801093643198,0.0129186602870813,0.3671703744131284,0.2675849953299132,0.4079906465906701,0.6369017172086228,0.49514652014652,0.3127289377289377,0.7115363265744988,0.5047830923248053,0.1176046176046176,0.088023088023088,0.3672529310845278,0.3850440144166899,0.6,0.7666666666666667,0.6493840844396301,0.5887441525534213,0.5677681140748165,0.2235963068649409,0.3444943116584908,0.3808996973176078
ESMC-300M,0.0580343225611102,0.1348637841133014,0.1336794412129906,0.3547817964696341,0.4984789991000694,0.5515426213241305,0.6830684676330134,0.589700495882729,0.4417325776609634,0.4915834599169958,0.111690404293801,0.213092999823964,0.3619729215415479,0.5180093634757234,0.4266180199747537,0.3905768263489217,0.5557620538133913,0.3829885930031388,0.3251677029524386,0.2245132300032658,0.4297921810472816,0.5432026200801112,0.3831964939195609,0.4034438380235911,0.0984284066080826,0.0978716348728252,0.4034743386549204,0.0203881296360167,-0.1279267521952962,0.048165570572154,0.5009711008754111,0.4089099054605971,0.5868789262416801,0.5643194632098237,0.1865814704041643,-0.0698862478486687,0.4515947467166979,-0.2543271263175946,0.4743340832388931,0.3053931768798353,0.703995570864427,0.5955620376284775,0.7999999999999999,0.3999999999999999,0.1978928288254195,0.0348197987997849,0.0391783319110318,-0.1666518165682847,0.2096028624851319,0.4086881537996441,0.5694045576426596,0.3728881894943363,0.2284347298352426,0.0958814151888239,0.4393259656417551,0.45056088158387,0.3697623199210724,0.6373739193854876,-0.2034039498808997,-0.1075706832681021,0.0355147984569251,-0.0589208804218502,0.3094437688941504,0.533659370634997,-0.4136455743333308,-0.3405241651625734,0.226966488019446,0.3543740308957503,0.0577399429316658,0.2524119758285308,0.0974325572732084,0.0775181181309923,0.2813294996678112,0.0836518630026523,-0.328313709364243,-0.0962212346784442,-0.2124888924234459,-0.1800345255527312,0.4988435888649905,0.6170242889060867,0.4425360936285445,0.5905503242212116,0.4662530340526021,0.1787607176208942,0.5862721139849295,0.4312416662171149,-0.0633185413385322,-0.0234500424247978,0.2370249260064787,0.3314913884462048,0.65,0.7166666666666667,0.1886062366440875,0.1252874982532072,0.3030328942775138,0.1291036893448188,0.223087442660416,0.1722791721067436
EVE_single,0.1143392062147139,0.1553262607801937,-0.1057865798323813,0.1814338333422302,0.6330827067669174,0.645727956254272,-0.1608861726508785,0.0077922077922077,0.4759673316374346,0.4371529305255372,0.2183578180736093,0.3551272950109636,0.2208088119590873,0.3499669551534224,0.3152434420040053,0.1165501165501165,0.4308967223252937,0.3815708101422387,0.4227898781305227,0.382643050241907,0.0849664128974473,0.2666211374832065,0.363130344301972,0.3029349259689149,-0.0271607620027248,0.0620589872700747,0.0930232558139535,-0.1263968589549984,0.3329511465603191,0.4334567725395243,0.5502694790072526,0.4274236476146117,0.2596768623852845,0.2658297730811342,0.2284304461942257,-0.0693063367079115,0.5075046904315198,-0.0973733583489681,0.6766233766233766,0.6116883116883116,0.6229106284049292,0.4963177689561508,0.7999999999999999,1.0,0.3791208791208791,0.2142857142857142,0.3944994163071531,0.2522980691055881,0.2804749586586746,0.3167744868684325,0.3327253948661108,0.2573343073783913,-0.0671669793621013,-0.099812382739212,0.3787066418645366,0.4242258452784768,0.0974358974358974,0.3223931623931623,-0.2917273236282194,-0.150489921612542,0.3078676071622355,0.0271703743895822,0.2559205500381971,0.4190985485103132,-0.425265750583355,-0.2087762509722582,0.4571674230798533,0.4395359214636323,0.245471636179165,0.3958103309361104,0.1279852366478506,0.0670864090316977,0.3510828886381169,0.0893407034791423,0.2269736842105263,0.0726203807390817,0.0508544087491455,0.1099111414900888,0.571864961315718,0.6772110555605827,0.4661673364998173,0.6417975886006577,0.4661630036630036,0.1751831501831501,0.6266963292547274,0.3681868743047831,0.0211399711399711,-0.1147186147186147,0.2899811683494109,0.293380748606185,0.1833333333333333,0.1333333333333333,0.0787213139531954,0.0455298889084817,0.3732195003077126,0.2334683964660545,0.3380231708589918,0.3066694499530321
