,model,D7PM05_CLYGR_Somermeyer_2022_all,D7PM05_CLYGR_Somermeyer_2022_epistatic,Q6WV13_9MAXI_Somermeyer_2022_all,Q6WV13_9MAXI_Somermeyer_2022_epistatic,Q8WTC7_9CNID_Somermeyer_2022_all,Q8WTC7_9CNID_Somermeyer_2022_epistatic
0,CARP_carp_38M_carp_38M_score,0.00,0.01,0.01,-0.04,-0.01,-0.02
1,CARP_carp_600k_carp_600k_score,0.02,0.01,-0.01,-0.05,-0.01,-0.00
2,CARP_carp_640M_carp_640M_score,0.01,0.02,-0.00,-0.05,-0.02,-0.04
3,CARP_carp_76M_carp_76M_score,0.03,0.03,0.02,-0.04,-0.03,-0.02
4,DeepSequence_evol_indices_seed_1000,-0.61,-0.44,-0.26,-0.16,-0.22,-0.15
5,DeepSequence_evol_indices_seed_2000,-0.54,-0.37,-0.27,-0.17,-0.22,-0.15
6,DeepSequence_evol_indices_seed_3000,-0.59,-0.42,-0.27,-0.18,-0.19,-0.12
7,DeepSequence_evol_indices_seed_4000,-0.53,-0.36,-0.27,-0.17,-0.19,-0.11
8,DeepSequence_evol_indices_seed_5000,-0.53,-0.36,-0.25,-0.15,-0.24,-0.16
9,DeepSequence_evol_indices_ensemble,-0.58,-0.41,-0.26,-0.17,-0.22,-0.14
10,ESM1b_esm1b_t33_650M_UR50S,0.44,0.31,0.24,0.18,0.22,0.19
11,ESM1v_esm1v_t33_650M_UR90S_1,0.07,0.04,0.04,-0.02,-0.01,-0.02
12,ESM1v_esm1v_t33_650M_UR90S_2,0.06,0.04,0.01,-0.03,-0.02,-0.02
13,ESM1v_esm1v_t33_650M_UR90S_3,0.06,0.04,0.02,-0.03,-0.02,-0.02
14,ESM1v_esm1v_t33_650M_UR90S_4,0.07,0.05,0.01,-0.04,-0.02,-0.02
15,ESM1v_esm1v_t33_650M_UR90S_5,0.07,0.05,0.04,-0.02,-0.03,-0.04
16,ESM1v_Ensemble_ESM1v,0.06,0.04,0.02,-0.03,-0.02,-0.02
17,ESM2_150M_esm2_t30_150M_UR50D,0.04,0.03,0.01,-0.05,-0.02,-0.03
18,ESM2_15B_esm2_t48_15B_UR50D,0.15,0.07,-0.02,-0.06,0.03,-0.01
19,ESM2_35M_esm2_t12_35M_UR50D,0.05,0.04,0.05,-0.01,-0.04,-0.03
20,ESM2_3B_esm2_t36_3B_UR50D,0.07,0.05,0.01,-0.04,-0.01,-0.03
21,ESM2_650M_esm2_t33_650M_UR50D,0.05,0.04,0.01,-0.05,-0.02,-0.03
22,ESM2_8M_esm2_t6_8M_UR50D,0.07,0.05,0.01,-0.04,-0.03,-0.03
23,ESM-IF1_esmif1_ll,0.51,0.38,0.30,0.28,0.29,0.27
24,EVE_evol_indices_seed_1000,-0.63,-0.45,-0.33,-0.22,-0.31,-0.25
25,EVE_evol_indices_seed_2000,-0.63,-0.45,-0.33,-0.22,-0.32,-0.26
26,EVE_evol_indices_seed_3000,-0.63,-0.45,-0.33,-0.22,-0.30,-0.24
27,EVE_evol_indices_seed_4000,-0.63,-0.45,-0.33,-0.22,-0.31,-0.25
28,EVE_evol_indices_seed_5000,-0.64,-0.46,-0.34,-0.22,-0.26,-0.20
