model,n_pairs,wins,median_diff,p_raw,p_adj_holm,significant
3,49,36,0.07028265851795262,6.043941001365738e-05,0.002236258170505323,True
37,49,33,0.0759878419452887,0.00017557109525156989,0.006320559429056516,True
19,49,36,0.09755523338661509,4.4269530263818524e-07,1.7265116802889224e-05,True
29,49,35,0.10084033613445381,6.656799577342554e-06,0.00025295838393901704,True
15,49,46,0.27582520861319165,3.6770586575585185e-13,1.4708234630234074e-11,True
12,49,47,0.2887700534759358,5.861977570020827e-14,2.403410803708539e-12,True
35,49,13,-0.0762261793189628,0.9995360159820024,1.0,False
36,49,12,-0.072241386365726,0.9997615172905014,1.0,False
22,49,12,-0.06100270616721261,0.9998129806072953,1.0,False
40,49,17,-0.05898682520089679,0.997159603191287,1.0,False
26,49,17,-0.05716220348721937,0.9846182146944926,1.0,False
25,49,17,-0.05622137090061588,0.9984061831013804,1.0,False
21,49,15,-0.05149444121616353,0.9778959423161382,1.0,False
20,49,15,-0.04884667571234741,0.9996206450462282,1.0,False
31,49,16,-0.04841520410635164,0.9978914235507919,1.0,False
38,49,16,-0.04417462276746349,0.9987734870865452,1.0,False
34,49,18,-0.035049701237847196,0.9821139385067497,1.0,False
4,49,18,-0.0349544072948329,0.9819758477510163,1.0,False
14,49,18,-0.03249234943807608,0.9541985109116808,1.0,False
16,49,18,-0.03023091016153498,0.9923967327023391,1.0,False
39,49,19,-0.028418640183346,0.9864922044274298,1.0,False
24,49,21,-0.023309042454845164,0.5626595592811707,1.0,False
11,49,21,-0.022939837068469998,0.9034435483584815,1.0,False
30,49,24,-0.0205123706488061,0.5858465409398423,1.0,False
9,49,16,-0.01706970128022761,0.9250897060396355,1.0,False
33,49,22,-0.007221796695480898,0.7308739485686573,1.0,False
1,49,21,-0.007040630459834191,0.909533347228928,1.0,False
2,49,22,-6.269592476482178e-05,0.5932349423187162,1.0,False
0,49,22,0.0,0.5345209523664494,1.0,False
5,49,24,0.0,0.4067650576812838,1.0,False
8,49,22,0.0,0.48274037519058766,1.0,False
13,49,23,0.0,0.6334129792355156,1.0,False
32,49,26,0.003256621797655207,0.5772130808175149,1.0,False
10,49,27,0.006763074568467087,0.5182351563414329,1.0,False
17,49,28,0.01239891378950203,0.05801212794395845,1.0,False
18,49,26,0.014817663559858918,0.15279947052740184,1.0,False
6,49,29,0.015810040115335794,0.07538713771999994,1.0,False
23,49,29,0.02158757388325988,0.05835714272498649,1.0,False
27,49,30,0.024132138857782814,0.033013983442373274,1.0,False
7,49,29,0.032954476719121606,0.14725590842696867,1.0,False
28,49,32,0.03314814334369129,0.002110513666480074,0.07386797832680259,False
